sku,inventory_units_on_hand,reorder_point,reorder_shortfall,supplier_on_time_delivery,demand_variability_cov,lead_time_days,safety_stock,on_hand_stock_value
92208.60078,1797,2643.48,846.48,0.7700,0.8600,26,844.28,12426.78
12808.25974,961,1800.81,839.81,0.7700,0.5900,27,420.57,10817.71
38534.162,787,1620.10,833.10,0.7700,0.6700,21,423.10,5541.11
2797.320736,1835,2659.48,824.48,0.7700,0.2500,52,236.28,34813.57
7833.644401,392,1172.63,780.63,0.7000,0.3300,31,149.63,2687.23
65377.15408,846,1554.24,708.24,0.7700,0.2900,17,168.86,16197.46
58083.65422,727,1391.87,664.87,0.7700,0.6900,28,372.67,3767.55
34397.37524,585,1215.24,630.24,0.7000,2.3900,44,709.24,5900.56
5589.677063,1470,2088.96,618.96,0.7500,0.6600,76,538.56,42507.83
14965.64597,325,931.44,606.44,0.7000,1.1800,23,371.77,7765.53
82525.33971,321,926.11,605.11,0.7700,0.4900,5,181.51,2539.60
50321.69367,404,986.82,582.82,0.7700,1.2800,26,414.82,8102.84
51560.04023,339,904.07,565.07,0.7500,0.4900,66,177.19,19340.11
59279.79637,506,1030.71,524.71,0.7500,0.5700,12,233.27,3540.38
4480.640121,249,769.91,520.91,0.7700,1.0300,33,280.41,5294.00
49843.96956,651,1149.86,498.86,0.7500,1.5800,27,547.22,7454.38
5404.511258,285,782.70,497.70,0.7000,0.4900,31,153.40,17564.54
43160.03555,191,676.15,485.15,0.7700,0.2400,6,56.63,1203.42
61623.30086,1442,1914.52,472.52,0.7700,0.2800,28,198.68,19871.12
29443.44791,285,754.83,469.83,0.7500,0.9700,25,263.50,2791.85
27821.00845,163,630.12,467.12,0.7000,0.6600,23,162.45,5143.80
54050.97542,117,570.87,453.87,0.7500,0.4500,28,102.71,1756.18
72201.46064,633,1067.39,434.39,0.7700,0.6200,5,260.59,4209.98
81765.22543,1180,1609.43,429.43,0.7700,0.5300,16,340.31,8262.20
52341.01919,228,651.53,423.53,0.7000,0.7300,31,182.81,1699.67
84276.1629,249,643.31,394.31,0.7200,0.8100,23,196.19,18067.51
79960.39306,352,744.74,392.74,0.7700,1.6100,4,358.13,3179.27
58828.96152,971,1359.99,388.99,0.7700,0.4900,17,266.55,6648.90
36027.65259,93,468.93,375.93,0.7700,0.4500,6,84.37,1574.48
80430.37141,203,578.81,375.81,0.7500,1.2800,33,243.31,16035.79
53079.25885,475,796.10,321.10,0.7000,0.4000,60,126.50,9000.15
24687.64874,223,543.15,320.15,0.7100,1.2900,23,229.43,6644.58
16165.94128,276,581.57,305.57,0.7700,1.6000,5,278.71,2240.64
84042.99035,205,504.57,299.57,0.7700,0.5300,21,106.69,1133.10
9994.266704,314,610.25,296.25,0.7700,0.9500,26,209.85,7311.37
18878.15735,90,364.57,274.57,0.7500,0.8500,23,115.40,1303.13
54977.50853,219,478.17,259.17,0.7000,0.5200,16,99.29,63691.01
44208.9097,273,524.28,251.28,0.7100,0.3300,33,66.90,10297.90
18449.16851,460,709.82,249.82,0.7000,0.5500,60,155.42,21351.31
61513.44926,93,323.55,230.55,0.7000,0.8000,5,97.72,2256.84
93847.02035,516,733.25,217.25,0.7000,1.1300,66,284.45,17852.65
38055.38453,2222,2439.14,217.14,0.7700,1.0100,88,876.26,30232.62
3478.938552,363,567.61,204.61,0.7500,0.7400,33,161.05,2538.17
98329.55094,86,288.64,202.64,0.7700,0.9700,61,100.76,1237.26
88394.37669,128,325.74,197.74,0.7000,0.8400,23,102.18,17545.67
13539.16641,105,291.79,186.79,0.7100,0.4900,23,57.19,9081.31
56531.78891,158,332.39,174.39,0.7700,1.2800,68,139.72,791.80
12676.44662,183,355.89,172.89,0.7200,0.8300,36,110.61,6020.36
13857.98308,218,385.07,167.07,0.7700,1.3600,55,168.00,12972.81
8954.076984,510,670.03,160.03,0.7000,1.9900,15,359.53,4156.90
33180.04635,171,330.78,159.78,0.7000,0.6300,51,81.90,9781.06
59245.0841,205,362.76,157.76,0.7000,1.0900,23,137.36,3876.49
46597.28823,226,378.90,152.90,0.7500,1.7200,16,188.82,1259.82
27049.09815,150,298.24,148.24,0.7800,1.0500,16,110.08,1411.33
41213.87088,79,226.60,147.60,0.7700,1.3300,176,97.53,1022.24
7168.284088,158,305.54,147.54,0.7000,0.8000,5,92.28,3487.39
10364.08644,50,197.34,147.34,0.7500,0.9400,60,67.34,1117.37
12512.44766,533,678.60,145.60,0.7700,0.4900,5,133.00,4044.95
70982.74714,132,275.26,143.26,0.7700,1.1600,8,108.65,1396.74
28221.53884,179,321.33,142.33,0.7100,0.6200,22,78.45,2218.95
43781.96218,253,395.17,142.17,0.7700,0.5900,8,92.29,1605.53
76461.28919,45,182.45,137.45,0.7000,0.6800,15,48.25,1350.99
49472.71625,1073,1203.83,130.83,0.7700,2.1100,22,664.25,8939.96
91961.60577,180,310.76,130.76,0.7000,0.9800,23,109.28,1180.43
63934.82728,49,179.11,130.11,0.7700,0.2500,16,15.91,387.46
31324.97779,102,231.78,129.78,0.7800,0.9300,21,78.48,1027.73
52738.31427,54,183.28,129.28,0.7500,0.7300,31,51.43,10422.70
96830.56156,2737,2865.05,128.05,0.7500,0.5400,123,616.61,71274.46
27362.13935,96,223.38,127.38,0.7000,0.6800,31,59.08,6495.48
12797.36362,623,736.65,113.65,0.7500,0.5500,29,161.29,4386.47
14400.80689,57,160.84,103.84,0.7700,0.8200,11,49.52,458.56
7989.807903,60,157.60,97.60,0.7000,0.8000,5,47.60,325.72
57529.21552,39,131.16,92.16,0.7300,0.4100,12,21.40,1199.53
28119.91436,166,254.07,88.07,0.7700,0.9000,21,83.97,1169.93
21835.37788,28,106.58,78.58,0.7700,1.0400,81,39.08,1276.58
35393.00406,232,308.93,76.93,0.7700,1.8000,31,157.65,1758.93
14177.70251,69,138.43,69.43,0.7500,0.6400,16,34.75,6508.78
65187.64152,42,108.08,66.08,0.7500,0.8200,30,33.28,1019.39
98215.01082,33,95.53,62.53,0.7000,0.7100,5,26.20,1110.26
21040.67907,1970,2029.01,59.01,0.7700,0.4000,53,322.41,14684.31
30822.31636,248,306.32,58.32,0.7500,0.7900,33,91.60,1708.35
89951.51899,979,1032.33,53.33,0.7500,0.7500,68,296.12,7625.26
57475.61525,31,83.94,52.94,0.7500,0.9400,29,28.64,330.19
89693.70052,37,89.87,52.87,0.7000,0.6600,23,23.17,7340.59
91788.78777,528,580.76,52.76,0.7000,0.1900,23,33.36,3738.07
8392.581071,38,85.02,47.02,0.7700,1.2800,16,35.74,224.51
19580.97749,32,77.97,45.97,0.7000,0.9000,58,25.77,1791.98
93217.39909,73,117.15,44.15,0.7700,0.9600,33,40.59,7635.42
81537.96901,50,93.57,43.57,0.7700,0.7500,11,26.84,404.30
36230.00449,87,121.23,34.23,0.7100,0.8400,16,38.03,441.34
1912.492979,15,48.37,33.37,0.7700,0.8300,8,15.03,145.25
42854.3262,32,65.05,33.05,0.7700,0.9200,81,21.85,381.02
46060.91678,49,81.60,32.60,0.7700,1.0200,62,29.52,482.58
27249.77679,26,58.58,32.58,0.7600,1.2500,26,24.26,157.31
43162.74144,86,118.17,32.17,0.7700,0.7400,23,33.53,1034.47
98378.27555,17,48.33,31.33,0.7700,0.7900,11,14.45,122.91
44289.2047,42,72.87,30.87,0.7200,0.6800,5,19.27,521.11
91258.55653,58,88.79,30.79,0.7700,1.0600,62,32.99,862.56
82832.52498,53,83.12,30.12,0.7700,1.1500,101,32.62,278.57
81114.43459,9,37.06,28.06,0.7000,0.4600,12,6.82,1083.73
44624.30577,35,62.18,27.18,0.7000,0.8000,5,18.78,272.54
42197.0308,21,48.17,27.17,0.7500,1.7200,29,24.01,115.55
67144.68233,10,36.70,26.70,0.7700,0.7800,31,10.86,194.03
67748.83664,13,39.32,26.32,0.7100,1.0300,30,14.32,157.05
54186.82985,1716,1742.13,26.13,0.7000,0.5600,23,387.89,68835.04
77704.06654,31,56.95,25.95,0.7700,2.5600,31,34.22,603.65
2199.098984,14,38.87,24.87,0.7000,0.8000,5,11.74,111.91
33525.41556,20,43.58,23.58,0.7600,2.1800,23,24.41,398.41
36540.19919,13,34.67,21.67,0.7000,0.8000,5,10.47,68.22
73183.07634,15,36.49,21.49,0.7700,0.7700,43,10.69,186.82
48155.2649,5,26.34,21.34,0.7100,0.2500,16,2.34,56.82
39547.29566,16,35.80,19.80,0.7700,0.7800,42,10.60,94.67
55647.4245,27,46.04,19.04,0.7700,1.0600,62,17.10,587.77
21901.57739,11,28.97,17.97,0.7700,0.2500,8,2.57,61.07
87767.50716,23,39.78,16.78,0.7500,0.9500,29,13.68,132.58
76756.87989,4,20.61,16.61,0.7700,0.4000,8,3.27,115.31
21977.15266,10,26.05,16.05,0.7700,1.0400,11,9.55,52.10
26425.65326,25,41.04,16.04,0.7700,1.0000,8,14.64,128.09
22940.71126,38,53.48,15.48,0.7700,1.2800,62,22.48,979.41
14865.09325,201,216.38,15.38,0.7500,1.3400,23,93.56,1049.81
12391.62135,16,31.22,15.22,0.7700,0.9900,21,11.06,212.74
87198.89708,14,29.13,15.13,0.7500,0.8200,28,8.97,998.19
84102.45845,10,25.05,15.05,0.7700,1.2800,11,10.53,260.57
74026.59966,30,44.92,14.92,0.7700,0.8300,43,13.96,220.15
11568.84245,13,27.80,14.80,0.7700,1.4400,8,12.55,81.02
84047.34263,10,24.46,14.46,0.7700,1.0800,8,9.20,69.38
65577.39399,21,35.33,14.33,0.7500,1.9000,28,18.53,3237.35
38645.52128,14,28.20,14.20,0.7000,0.9500,37,9.70,5013.99
37521.04229,8,22.09,14.09,0.7700,1.4700,8,10.09,173.13
78437.89751,205,218.77,13.77,0.7700,1.1000,61,83.35,3409.98
18814.27596,7,20.50,13.50,0.7700,0.5100,8,4.18,51.46
20838.15682,23,36.47,13.47,0.7700,1.3400,23,15.77,328.76
12950.88246,34,47.19,13.19,0.7700,1.9900,41,25.32,239.14
64371.93369,4586,4598.73,12.73,0.7000,0.2500,51,408.57,26702.43
31340.14649,6,17.86,11.86,0.7000,0.8000,5,5.39,65.04
53822.56425,13,24.75,11.75,0.7700,1.9100,16,13.01,90.01
24189.22483,4,15.12,11.12,0.7500,0.7400,5,4.29,132.85
24990.97608,7,18.11,11.11,0.7700,0.8300,8,5.63,202.46
33788.86995,30,40.82,10.82,0.7700,1.3200,50,17.49,154.39
49639.77433,7,17.64,10.64,0.7700,2.7900,8,10.97,1411.15
86793.40418,5,15.52,10.52,0.7000,0.8000,5,4.69,56.65
49840.64111,7,17.32,10.32,0.7700,1.4300,13,7.79,272.36
40066.64533,10,20.10,10.10,0.7700,0.7400,16,5.70,63.60
86267.46835,10,19.86,9.86,0.7700,1.0600,8,7.38,71.46
76253.80621,31,40.83,9.83,0.7000,0.1600,11,1.67,426.85
61599.13697,7,16.80,9.80,0.7700,0.7700,11,4.92,45.40
13825.92566,11,20.79,9.79,0.7700,1.3200,11,8.91,222.32
76619.94459,3,12.18,9.18,0.7700,0.2500,8,1.08,84.45
79018.36345,8,17.14,9.14,0.7500,1.4000,5,7.61,51.27
46546.61843,6,14.91,8.91,0.7700,1.2300,12,6.11,59.18
43993.27283,6,14.61,8.61,0.7000,0.8000,5,4.41,544.66
32339.82367,6,14.51,8.51,0.7700,2.0200,8,7.84,107.29
53779.00665,31,39.47,8.47,0.7700,1.2800,22,16.59,268.73
20515.10297,11,19.26,8.26,0.7700,0.8000,16,5.82,61.12
40644.05282,8,16.05,8.05,0.7000,0.8000,5,4.85,71.17
76231.03342,23,30.95,7.95,0.7700,2.0000,11,16.65,452.38
26543.223,8,15.91,7.91,0.7700,1.4700,8,7.27,233.06
13083.50333,10,17.91,7.91,0.7000,0.8000,5,5.41,70.29
89604.23049,13,20.76,7.76,0.7700,1.5200,8,9.67,104.28
28643.91352,5,12.54,7.54,0.7700,1.0000,11,4.47,27.94
620.6222247,3,10.54,7.54,0.7800,0.2500,16,0.94,26.04
8379.849283,52,59.07,7.07,0.7500,1.3000,5,25.07,1415.78
73991.93826,3,10.04,7.04,0.7700,0.9200,8,3.37,30.71
45713.31833,12,18.96,6.96,0.7700,1.4400,8,8.56,130.91
4972.487359,82,88.89,6.89,0.7500,0.8800,25,28.89,2499.25
89385.16644,13,19.78,6.78,0.7700,1.5400,21,9.28,260.68
70964.12009,69,75.77,6.77,0.7700,1.2800,61,31.85,833.34
92433.65716,4,10.75,6.75,0.7000,0.8000,5,3.25,20.27
67635.93921,9,15.54,6.54,0.7700,1.4000,8,6.90,50.18
57719.39021,3,9.46,6.46,0.7000,0.8000,5,2.86,142.26
19715.918,3,9.37,6.37,0.7700,1.0700,8,3.50,81.67
14287.91251,13,19.35,6.35,0.7500,1.1700,5,7.68,68.25
5869.593443,9,15.32,6.32,0.7700,1.1700,11,6.08,239.57
95729.65877,7,13.27,6.27,0.7700,2.1600,8,7.40,177.60
26378.62985,5,11.17,6.17,0.7000,0.8000,5,3.37,47.98
72009.69859,12,17.68,5.68,0.7500,1.4100,21,7.88,273.76
52870.46568,5,10.66,5.66,0.7700,1.4300,8,4.79,86.78
84269.57277,6,11.57,5.57,0.7500,1.3800,6,5.09,56.80
92172.87215,74,78.75,4.75,0.7700,0.7800,44,23.31,1095.50
57014.25897,4,8.73,4.73,0.7700,0.8900,11,2.86,97.36
37503.0496,7,11.56,4.56,0.7300,0.8200,4,3.56,542.79
83000.8256,22,26.53,4.53,0.7700,0.9000,8,8.77,535.79
36916.6025,11,15.50,4.50,0.7700,1.4300,16,6.97,1041.12
64933.26732,2,6.44,4.44,0.7700,0.2500,8,0.57,10.19
51679.80795,18,22.39,4.39,0.7000,0.2500,5,1.99,240.90
13480.94554,62,65.97,3.97,0.7000,1.9100,23,34.69,509.74
14561.62588,2,5.97,3.97,0.7000,0.8000,5,1.80,50.61
32713.08559,2,5.97,3.97,0.7000,0.8000,5,1.80,27.43
82987.78397,2,5.97,3.97,0.7000,0.8000,5,1.80,38.00
65498.0716,4,7.96,3.96,0.7700,0.2500,8,0.71,183.03
65905.88381,10,13.88,3.88,0.7700,1.5000,16,6.42,57.05
1610.023411,3,6.88,3.88,0.7000,0.8000,5,2.08,29.51
38559.74417,5,8.78,3.78,0.7500,0.2500,30,0.78,68.30
76649.33972,5,8.69,3.69,0.7000,0.8000,5,2.62,32.23
43367.37952,41,44.57,3.57,0.7500,1.8100,16,22.81,282.34
55482.66358,2,5.54,3.54,0.7700,0.7200,8,1.54,132.57
35251.07142,13,16.46,3.46,0.7700,0.7000,8,4.46,161.37
79546.86262,52,55.43,3.43,0.7500,0.7600,16,16.07,716.59
97265.62288,1,4.39,3.39,0.7700,0.2500,8,0.39,27.19
10529.6734,2,5.25,3.25,0.7000,0.8000,5,1.59,15.19
55477.94926,14,17.21,3.21,0.7700,0.2500,8,1.53,108.49
22520.01689,11,14.16,3.16,0.7700,1.0900,22,5.36,56.71
20079.17189,1,4.10,3.10,0.7700,0.2500,8,0.36,28.60
336.8691995,1,4.10,3.10,0.7700,0.2500,8,0.36,43.09
13316.33142,4,6.60,2.60,0.7700,0.9100,11,2.20,105.88
35069.67071,8,10.48,2.48,0.7700,2.4800,8,6.21,129.57
18223.462,4,6.45,2.45,0.7000,0.8000,5,1.95,20.59
80557.19668,15,17.43,2.43,0.7800,0.7600,8,5.05,202.78
30292.65585,2,4.39,2.39,0.7700,0.2500,8,0.39,10.19
84554.93203,2,4.30,2.30,0.7000,0.8000,5,1.30,26.57
13433.72832,4,6.09,2.09,0.7700,0.2500,8,0.54,22.76
30893.03415,20,21.99,1.99,0.7700,3.4600,8,14.79,229.54
29174.32198,1,2.34,1.34,0.7700,0.2500,8,0.21,38.30
36888.23023,1,2.34,1.34,0.7700,0.2500,8,0.21,34.92
54421.73052,1492,1493.32,1.32,0.7700,0.4900,28,292.68,14619.69
18495.56854,2,3.07,1.07,0.7700,0.2000,8,0.19,26.10
52913.96599,194,194.91,0.91,0.7000,0.5400,16,41.95,1073.17
46840.29979,5,5.89,0.89,0.7700,1.4700,8,2.69,152.03
13514.24028,1,1.76,0.76,0.7700,0.2500,8,0.16,76.98
41592.17978,1,1.76,0.76,0.7700,0.2500,8,0.16,67.87
75977.31324,1,1.76,0.76,0.7700,0.2500,8,0.16,39.63
85486.23537,1,1.76,0.76,0.7700,0.2500,8,0.16,11.90
91775.97226,1,1.76,0.76,0.7700,0.2500,8,0.16,39.09
96559.89403,1,1.76,0.76,0.7700,0.2500,8,0.16,19.65
9715.729205,4,4.63,0.63,0.7500,0.7500,11,1.33,74.40
58091.45501,24,24.62,0.62,0.7700,1.0000,8,8.78,147.50
50881.52299,1,1.58,0.58,0.7000,0.3500,2,0.22,174.25
92084.2001,3,3.32,0.32,0.7000,0.7800,3,0.98,475.27
10401.57273,1,1.17,0.17,0.7700,0.2500,8,0.10,35.34
66951.12366,42,42.03,0.03,0.7000,0.8000,5,12.69,311.36
