sku,inventory_units_on_hand,projected_average_monthly_demand,months_of_inventory_coverage,on_hand_stock_value,annual_demand
94721.9698,71,16.80,4.23,5597.92,201.60
27446.34606,1608,381.60,4.21,8410.62,4579.20
38055.38453,2222,532.80,4.17,30232.62,6393.60
1304.362017,202,48.80,4.14,6197.29,585.60
28488.38611,86,20.80,4.13,1104.60,249.60
27776.26972,3834,933.60,4.11,29044.39,11203.20
81817.28921,111,27.00,4.11,10889.35,324.00
5413.494526,81,20.00,4.05,1369.15,240.00
16792.61395,1100,273.60,4.02,30177.37,3283.20
79135.88516,12,3.00,4.00,306.50,36.00
94232.44256,245,61.60,3.98,4742.53,739.20
84762.58538,7672,1942.80,3.95,43361.78,23313.60
82813.67224,359,92.40,3.89,2725.52,1108.80
94539.85507,570,146.40,3.89,5067.05,1756.80
57445.50178,1134,294.40,3.85,7705.51,3532.80
78672.28731,196,51.00,3.84,2241.41,612.00
33972.8887,23,6.00,3.83,1146.01,72.00
48685.61793,132,34.80,3.79,6846.32,417.60
37014.40791,545,146.40,3.72,6238.78,1756.80
37450.54569,4249,1149.60,3.70,45805.98,13795.20
3987.356487,50,13.60,3.68,4063.75,163.20
52607.2665,22,6.00,3.67,135.64,72.00
73298.64989,2223,609.00,3.65,20299.62,7308.00
34331.40254,872,240.00,3.63,6890.62,2880.00
64875.99647,159,43.80,3.63,3929.32,525.60
74104.54331,49,13.60,3.60,3612.30,163.20
41213.87088,79,22.00,3.59,1022.24,264.00
19197.77684,53,15.00,3.53,855.58,180.00
79318.69045,1028,291.20,3.53,12940.10,3494.40
82832.52498,53,15.00,3.53,278.57,180.00
12328.15963,128,36.40,3.52,1289.43,436.80
5146.411327,19,5.40,3.52,160.42,64.80
51198.41152,42,12.00,3.50,239.37,144.00
66898.45026,3470,998.40,3.48,131594.09,11980.80
85804.73815,1693,486.00,3.48,18500.13,5832.00
97735.92745,25846,7452.80,3.47,262331.48,89433.60
83489.02749,202,58.80,3.44,1410.97,705.60
32887.30684,983,286.80,3.43,7288.89,3441.60
95224.86017,1681,492.00,3.42,10484.73,5904.00
15226.19915,112,32.80,3.41,1246.07,393.60
62023.60436,217,63.60,3.41,1304.10,763.20
68884.34592,156,46.40,3.36,1054.12,556.80
22592.41647,2766,825.60,3.35,44489.65,9907.20
10514.99874,20,6.00,3.33,143.48,72.00
15456.07562,30,9.00,3.33,15429.49,108.00
20418.92732,36,10.80,3.33,1492.01,129.60
89016.80093,504,151.20,3.33,8122.20,1814.40
56722.42673,925539,278788.80,3.32,4876665.14,3345465.60
12212.94799,45,13.60,3.31,3000.69,163.20
47304.986,769,234.00,3.29,9136.41,2808.00
91641.45053,2106,640.80,3.29,87992.86,7689.60
60104.7615,500,153.00,3.27,7937.86,1836.00
37405.54347,20289,6288.00,3.23,151412.46,75456.00
35452.87953,502,156.00,3.22,7918.65,1872.00
70964.12009,69,21.60,3.19,833.34,259.20
93469.55851,86,27.00,3.19,825.27,324.00
5602.445847,1330,420.00,3.17,20868.33,5040.00
32667.50506,34,10.80,3.15,1070.81,129.60
52071.58392,25,8.00,3.13,173.32,96.00
78437.89751,205,66.60,3.08,3409.98,799.20
45282.24361,116,37.80,3.07,1087.91,453.60
36726.63114,1367,446.40,3.06,9829.82,5356.80
78229.36296,22,7.20,3.06,13448.13,86.40
82840.00177,205,67.20,3.05,1480.07,806.40
61839.11381,31,10.20,3.04,260.89,122.40
67961.41145,31,10.20,3.04,4417.45,122.40
70415.21402,1858,612.00,3.04,15639.36,7344.00
84159.11686,898,296.40,3.03,24451.50,3556.80
52793.46202,441,145.80,3.02,8416.30,1749.60
31398.63195,7537,2503.20,3.01,121482.63,30038.40
89951.51899,979,324.80,3.01,7625.26,3897.60
56490.52412,9,3.00,3.00,187.95,36.00
84559.80606,18,6.00,3.00,3408.61,72.00
88284.20088,6696,2232.00,3.00,51709.19,26784.00
12826.95597,31,10.40,2.98,109974.90,124.80
54137.96425,50,16.80,2.98,1067.07,201.60
55870.75261,6500,2184.00,2.98,61222.90,26208.00
62577.32088,1119,381.00,2.94,8034.53,4572.00
35550.82626,42,14.40,2.92,480.47,172.80
68878.30081,8071,2764.80,2.92,284676.08,33177.60
68937.24966,120,41.40,2.90,1302.58,496.80
39363.46175,51,18.00,2.83,1531.68,216.00
57760.55902,147,52.00,2.83,4085.72,624.00
76543.52333,17,6.00,2.83,275.33,72.00
88828.83679,611,216.80,2.82,49626.48,2601.60
25337.73744,6098,2168.00,2.81,47978.81,26016.00
6647.529747,56,20.00,2.80,1219.22,240.00
18388.13489,75,27.00,2.78,907.00,324.00
59135.77287,46,16.80,2.74,1060.30,201.60
89811.80717,60,22.00,2.73,3557.81,264.00
76681.24189,16185,5956.80,2.72,94988.80,71481.60
92010.48054,44,16.20,2.72,364.93,194.40
6239.586338,176,65.00,2.71,24054.26,780.00
17877.58278,41151,15216.00,2.70,294228.16,182592.00
26139.86709,42,15.60,2.69,1057.10,187.20
49417.42548,1116,415.20,2.69,17631.08,4982.40
64333.34908,29,10.80,2.69,790.00,129.60
48507.3207,728,272.00,2.68,5430.26,3264.00
58028.02417,48,18.00,2.67,3817.10,216.00
58079.34347,16,6.00,2.67,299.69,72.00
92202.7404,323,122.40,2.64,2918.18,1468.80
62442.85336,118,45.00,2.62,11772.22,540.00
8994.754483,1758,672.80,2.61,17775.30,8073.60
91222.74032,1644,628.80,2.61,49157.52,7545.60
87339.56134,37,14.40,2.57,1396.43,172.80
77841.39491,40,15.60,2.56,301.57,187.20
91628.00789,40,15.60,2.56,315.33,187.20
22940.71126,38,15.00,2.53,979.41,180.00
40922.61774,35212,13941.60,2.53,297227.26,167299.20
93847.02035,516,204.00,2.53,17852.65,2448.00
1465.287773,30,12.00,2.50,275.48,144.00
89251.54452,30,12.00,2.50,968.32,144.00
81868.63666,3369,1352.00,2.49,46339.15,16224.00
13827.44534,529,213.60,2.48,3359.45,2563.20
21236.77097,704,284.40,2.48,5673.72,3412.80
64875.31789,163,65.60,2.48,1338.95,787.20
813.4034714,58,23.40,2.48,785.79,280.80
9076.599167,1431,579.60,2.47,9668.30,6955.20
13779.47586,50,20.40,2.45,19022.94,244.80
21887.98141,97,39.60,2.45,104030.78,475.20
92110.94562,27,11.00,2.45,154.47,132.00
41680.07185,34,14.00,2.43,460.68,168.00
46846.80048,1346,554.40,2.43,32912.74,6652.80
68359.31198,34,14.00,2.43,965.76,168.00
80337.50935,9149,3780.00,2.42,49098.75,45360.00
55007.58459,26,10.80,2.41,845.23,129.60
12439.48501,72,30.00,2.40,1016.24,360.00
43200.38411,339,141.00,2.40,21325.91,1692.00
45552.5998,36,15.00,2.40,1049.08,180.00
5589.677063,1470,612.00,2.40,42507.83,7344.00
63165.45343,1360,567.60,2.40,7711.87,6811.20
67889.90501,60,25.00,2.40,371.45,300.00
27126.64462,237,99.60,2.38,12519.91,1195.20
43048.89302,2780,1166.40,2.38,24597.02,13996.80
71647.04951,435,182.40,2.38,12117.58,2188.80
2853.429693,660,279.00,2.37,5668.90,3348.00
80784.06957,7449,3137.60,2.37,55592.57,37651.20
64602.92922,230,97.60,2.36,1636.06,1171.20
80947.58702,10325,4414.80,2.34,95814.94,52977.60
91426.67159,211,90.00,2.34,1353.37,1080.00
46291.06205,18,7.80,2.31,146.17,93.60
54476.39539,427,184.80,2.31,18744.55,2217.60
93125.36957,684,296.40,2.31,4377.29,3556.80
44835.25062,113,49.20,2.30,11968.33,590.40
68029.7579,307,133.20,2.30,2859.03,1598.40
60625.65298,977,427.20,2.29,5933.65,5126.40
35735.47813,37,16.20,2.28,1173.68,194.40
89414.43548,170,74.40,2.28,2416.65,892.80
97924.44464,378,165.60,2.28,3574.64,1987.20
45870.41515,49,21.60,2.27,465.57,259.20
75565.46093,68,30.00,2.27,25362.14,360.00
59540.86287,727,321.60,2.26,9171.46,3859.20
72325.83695,231,102.00,2.26,4701.30,1224.00
16511.1707,100,44.40,2.25,2788.10,532.80
27153.84354,2161,961.20,2.25,17863.83,11534.40
61732.08199,46,20.40,2.25,5017.30,244.80
49928.21246,497,223.20,2.23,2538.65,2678.40
28155.9807,83,37.80,2.20,18227.80,453.60
82397.14582,87,39.60,2.20,1032.58,475.20
76674.36635,427,195.20,2.19,2593.04,2342.40
16292.38619,5158,2374.20,2.17,48762.77,28490.40
40688.08369,13,6.00,2.17,69.46,72.00
68729.12159,13,6.00,2.17,7718.09,72.00
57225.68169,54,25.00,2.16,393.49,300.00
18455.61381,274,127.20,2.15,4507.32,1526.40
91258.55653,58,27.00,2.15,862.56,324.00
33788.86995,30,14.00,2.14,154.39,168.00
41203.29168,209,97.60,2.14,10999.25,1171.20
56656.19487,30,14.00,2.14,2744.28,168.00
64160.20509,1063,495.60,2.14,16928.51,5947.20
86550.04954,609,284.80,2.14,7299.54,3417.60
95073.07057,27,12.60,2.14,1106.52,151.20
12950.88246,34,16.00,2.13,239.14,192.00
30904.28072,730,342.00,2.13,21004.87,4104.00
34253.56361,23,10.80,2.13,284.58,129.60
43035.68842,74,34.80,2.13,2621.01,417.60
93725.67222,187,88.20,2.12,1339.10,1058.40
71346.84879,103,48.80,2.11,79411.68,585.60
49717.44659,208,99.00,2.10,4519.37,1188.00
58892.4027,73,34.80,2.10,934.45,417.60
9752.603397,82,39.00,2.10,176954.95,468.00
4831.799117,27868,13365.00,2.09,206469.66,160380.00
50355.96012,271,129.60,2.09,4347.03,1555.20
72754.33596,123,58.80,2.09,1064.03,705.60
74085.86797,1286,614.40,2.09,6844.06,7372.80
19362.40888,15,7.20,2.08,113.16,86.40
7766.697457,294,141.60,2.08,10135.79,1699.20
96716.7153,55,26.40,2.08,501.62,316.80
5080.470179,86,41.60,2.07,12318.50,499.20
97673.70719,1082,524.40,2.06,6155.32,6292.80
67973.73257,32,15.60,2.05,8936.99,187.20
19942.00864,22,10.80,2.04,3152.77,129.60
21040.67907,1970,966.00,2.04,14684.31,11592.00
5925.684757,44,21.60,2.04,1148.70,259.20
6622.805149,71,34.80,2.04,1138.17,417.60
75522.24675,103,50.40,2.04,898.77,604.80
78998.63826,22,10.80,2.04,252.54,129.60
49338.57371,1106,547.20,2.02,9230.26,6566.40
64638.53689,41,20.40,2.01,1092.07,244.80
41517.17867,30,15.00,2.00,1314.94,180.00
42854.3262,32,16.00,2.00,381.02,192.00
43279.22621,12,6.00,2.00,983.08,72.00
72156.25745,388,194.40,2.00,4562.33,2332.80
85238.34056,437,218.40,2.00,7258.24,2620.80
94094.52434,16,8.00,2.00,337.47,96.00
46633.95719,49,24.60,1.99,408.48,295.20
92370.94968,2437,1225.20,1.99,13240.62,14702.40
71418.1479,157,79.20,1.98,1194.80,950.40
92172.87215,74,37.80,1.96,1095.50,453.60
89602.68337,34,17.40,1.95,212.69,208.80
13776.59003,386,199.20,1.94,8179.11,2390.40
1449.195854,90,46.40,1.94,588.55,556.80
20353.36609,2933,1513.60,1.94,116998.48,18163.20
46060.91678,49,25.20,1.94,482.58,302.40
29973.66394,253,131.20,1.93,25609.62,1574.40
55647.4245,27,14.00,1.93,587.77,168.00
32581.97004,40,20.80,1.92,341.34,249.60
40524.06718,89,46.40,1.92,520.64,556.80
66241.69921,40,20.80,1.92,320.94,249.60
45214.4679,39,20.40,1.91,1067.73,244.80
52150.24179,445,233.20,1.91,11092.69,2798.40
8380.815604,845,442.40,1.91,9495.47,5308.80
51157.75623,10820,5695.20,1.90,112237.43,68342.40
68655.67308,6505,3436.40,1.89,48217.92,41236.80
73865.19729,75,39.60,1.89,774.74,475.20
80696.93523,17,9.00,1.89,438.20,108.00
27804.56418,131,69.60,1.88,1044.22,835.20
43344.10831,15,8.00,1.88,3394.18,96.00
84121.20154,39,20.80,1.88,1791.54,249.60
63145.95994,64,34.20,1.87,1431.29,410.40
94485.72991,409,218.40,1.87,10549.07,2620.80
95551.89527,123730,66299.20,1.87,927844.54,795590.40
20175.18474,848,456.00,1.86,4944.69,5472.00
56531.78891,158,85.00,1.86,791.80,1020.00
64371.93369,4586,2464.80,1.86,26702.43,29577.60
84810.90016,67,36.00,1.86,1275.51,432.00
92199.42146,24874,13345.20,1.86,315697.37,160142.40
55.95166091,20,10.80,1.85,551.42,129.60
13857.98308,218,118.40,1.84,12972.81,1420.80
34340.89343,589,321.60,1.83,4191.40,3859.20
64627.18514,160,87.60,1.83,1014.14,1051.20
13335.72458,1538,849.60,1.81,10279.54,10195.20
39066.01155,1165,650.40,1.79,19381.01,7804.80
67735.18226,25,14.00,1.79,1738.63,168.00
43454.37015,2975,1674.00,1.78,17354.31,20088.00
40405.16397,86,48.80,1.76,8711.38,585.60
36174.29807,14,8.00,1.75,823.75,96.00
74649.14349,208,118.80,1.75,21676.10,1425.60
77066.7326,193618,110741.40,1.75,1129564.97,1328896.80
80733.80677,14,8.00,1.75,71.67,96.00
32669.2864,2003,1149.60,1.74,14267.85,13795.20
52567.94807,50,28.80,1.74,16943.68,345.60
15592.2983,483,279.00,1.73,9207.46,3348.00
40555.53967,36846,21312.00,1.73,276302.79,255744.00
99848.49526,6467,3740.00,1.73,180016.95,44880.00
14894.11729,1519,884.80,1.72,45130.44,10617.60
56141.93351,491,284.80,1.72,2972.03,3417.60
89822.0946,1075,624.80,1.72,5406.36,7497.60
71757.13271,275,160.80,1.71,1382.21,1929.60
25584.02824,165,97.20,1.70,1753.96,1166.40
34397.37524,585,345.00,1.70,5900.56,4140.00
53498.3392,17024,10005.00,1.70,89424.60,120060.00
59794.46789,53,31.20,1.70,4901.58,374.40
90687.4663,2777,1635.00,1.70,26664.98,19620.00
94223.26804,745,439.20,1.70,29002.55,5270.40
87446.87055,579,343.20,1.69,3449.93,4118.40
47193.59978,318,189.60,1.68,3713.86,2275.20
59614.48888,20776,12393.00,1.68,198444.79,148716.00
49863.589,551,330.40,1.67,16879.37,3964.80
70200.57052,15,9.00,1.67,234.27,108.00
71728.94906,51,30.60,1.67,548.65,367.20
83981.03848,18,10.80,1.67,1042.65,129.60
93472.75764,10,6.00,1.67,10868.85,72.00
18449.16851,460,277.20,1.66,21351.31,3326.40
43542.32896,339,204.00,1.66,4362.53,2448.00
34162.58915,217,131.40,1.65,2468.01,1576.80
88086.29948,1201,729.00,1.65,16455.94,8748.00
92052.30979,11484,6952.00,1.65,288391.12,83424.00
2177.326658,49,30.00,1.63,1154.40,360.00
95156.36474,122,74.80,1.63,770.70,897.60
32871.99161,578,356.80,1.62,6061.57,4281.60
6088.393127,309,191.20,1.62,13723.50,2294.40
79319.56159,550,339.20,1.62,9424.37,4070.40
81553.46788,435,269.40,1.61,6335.20,3232.80
81689.65414,34008,21176.40,1.61,190999.41,254116.80
17724.92674,202,126.00,1.60,136785.83,1512.00
62250.83184,5103,3188.80,1.60,201302.14,38265.60
68621.70154,19512,12165.60,1.60,145614.90,145987.20
73719.85221,22061,13814.40,1.60,165434.08,165772.80
14171.73212,173,109.80,1.58,5837.31,1317.60
35393.00406,232,146.40,1.58,1758.93,1756.80
42497.04662,57,36.00,1.58,597.31,432.00
68106.51762,19,12.00,1.58,517.41,144.00
99255.09936,201,127.20,1.58,1163.27,1526.40
21602.76529,162,103.60,1.56,881.86,1243.20
79112.17361,3276,2100.00,1.56,86818.09,25200.00
23986.33804,12539,8065.60,1.55,74175.86,96787.20
71072.24732,79,51.00,1.55,1607.73,612.00
50957.97218,761,498.00,1.53,29934.04,5976.00
86403.55774,31711,20740.80,1.53,345335.55,248889.60
89670.35653,2284,1494.40,1.53,16473.83,17932.80
13480.94554,62,40.80,1.52,509.74,489.60
53101.94765,31,20.40,1.52,914.75,244.80
7436.807314,38,25.00,1.52,242.32,300.00
19688.64901,219,145.20,1.51,2731.89,1742.40
70689.35104,2513,1660.80,1.51,15733.68,19929.60
85753.58412,374,248.40,1.51,23248.07,2980.80
31844.01405,34794,23144.80,1.50,212412.75,277737.60
51684.3261,122,81.20,1.50,1042.63,974.40
67194.73671,44670,29845.20,1.50,273744.65,358142.40
21469.85934,69,46.40,1.49,5056.08,556.80
33428.60448,2198,1470.60,1.49,46190.36,17647.20
34964.02796,76,51.00,1.49,4326.79,612.00
65233.03504,204,136.80,1.49,62186.84,1641.60
69878.71086,11320,7605.60,1.49,81314.61,91267.20
84645.50897,152,102.00,1.49,1325.60,1224.00
12389.93222,2430,1654.40,1.47,335783.93,19852.80
40051.27024,40,27.20,1.47,1164.94,326.40
12802.8922,21,14.40,1.46,10586.24,172.80
39214.33263,49,33.60,1.46,247.37,403.20
49472.71625,1073,735.80,1.46,8939.96,8829.60
97447.0433,135,92.40,1.46,1084.42,1108.80
35496.07527,1183,817.60,1.45,11076.78,9811.20
50412.93308,68,46.80,1.45,499.94,561.60
75182.03375,4642,3204.00,1.45,32835.17,38448.00
4642.238692,13446,9315.60,1.44,101797.50,111787.20
55712.61767,1152,800.80,1.44,10857.63,9609.60
77724.02442,31,21.60,1.44,1109.01,259.20
53079.25885,475,334.80,1.42,9000.15,4017.60
62420.5743,2094,1470.00,1.42,19111.11,17640.00
16357.87583,22,15.60,1.41,965.38,187.20
77704.06654,31,22.00,1.41,603.65,264.00
31773.45426,232,165.60,1.40,2817.95,1987.20
47743.74185,38,27.20,1.40,1003.22,326.40
59338.99383,126,90.00,1.40,1135.55,1080.00
60644.09712,21,15.00,1.40,477.18,180.00
85993.0033,4845,3472.80,1.40,65624.83,41673.60
21236.62438,85,61.20,1.39,502.19,734.40
74026.59966,30,21.60,1.39,220.15,259.20
93614.81142,220,159.60,1.38,6327.93,1915.20
95063.5017,2042,1475.20,1.38,34018.64,17702.40
28089.68138,50,36.40,1.37,6515.18,436.80
68.43051657,90,65.60,1.37,6875.75,787.20
91457.61403,42,30.60,1.37,424.62,367.20
17051.99015,391,286.80,1.36,2374.17,3441.60
17766.48626,1173,861.00,1.36,6789.25,10332.00
26341.18401,3585,2639.20,1.36,25751.26,31670.40
32397.04157,8669,6371.20,1.36,84209.72,76454.40
66249.98903,18765,13845.00,1.36,345098.96,166140.00
74311.1835,484,356.80,1.36,5183.50,4281.60
81186.83623,265,194.40,1.36,2546.95,2332.80
82122.44457,4433,3256.00,1.36,47936.93,39072.00
88791.26165,22,16.20,1.36,400.07,194.40
9797.236123,21188,15541.20,1.36,158884.64,186494.40
21639.40791,849,628.80,1.35,13621.66,7545.60
53178.28644,185,136.80,1.35,1605.68,1641.60
5364.083202,34,25.20,1.35,917.19,302.40
57501.49233,42,31.20,1.35,917.93,374.40
91203.71952,921,684.00,1.35,7889.53,8208.00
24000.84476,4110,3067.20,1.34,24412.64,36806.40
44086.45057,1549,1154.40,1.34,17259.91,13852.80
17682.88126,4,3.00,1.33,341.95,36.00
23411.41891,391,294.40,1.33,3291.46,3532.80
67407.81987,8,6.00,1.33,214.01,72.00
77196.3111,36,27.00,1.33,563.76,324.00
79739.54418,1847,1393.20,1.33,46394.46,16718.40
27746.72473,49484,37454.40,1.32,371074.93,449452.80
66491.66544,1391,1054.40,1.32,9989.46,12652.80
69336.6739,14884,11233.60,1.32,105195.27,134803.20
139.8523217,41,31.20,1.31,4523.66,374.40
2797.320736,1835,1398.00,1.31,34813.57,16776.00
85361.35278,40,30.60,1.31,874.90,367.20
11660.51327,1249,962.40,1.30,21819.60,11548.80
33720.91669,259,199.20,1.30,12074.95,2390.40
71293.47981,140,108.00,1.30,1262.86,1296.00
12710.54877,489,378.00,1.29,42771.83,4536.00
31967.57789,123,95.40,1.29,798.85,1144.80
14944.90422,40,31.20,1.28,320.94,374.40
22029.78736,40,31.20,1.28,291.56,374.40
36888.64543,131,102.00,1.28,812.72,1224.00
47021.69046,40,31.20,1.28,342.09,374.40
53537.78345,6039,4724.40,1.28,54510.11,56692.80
12618.77005,47774,37715.00,1.27,303071.34,452580.00
1826.379771,117,92.40,1.27,4420.96,1108.80
30822.31636,248,195.20,1.27,1708.35,2342.40
38681.85219,19,15.00,1.27,528.81,180.00
52881.43645,330,259.20,1.27,2747.89,3110.40
64325.68991,70,55.20,1.27,825.16,662.40
30058.3472,34,27.00,1.26,1070.81,324.00
43315.24026,658,520.80,1.26,9231.39,6249.60
54483.07648,31,24.60,1.26,406.98,295.20
70410.77463,122,97.20,1.26,14597.49,1166.40
89665.20677,34,27.00,1.26,1379.74,324.00
13833.06592,2099,1680.00,1.25,13396.43,20160.00
14865.09325,201,160.20,1.25,1049.81,1922.40
36801.08852,27,21.60,1.25,290.41,259.20
43831.07434,5,4.00,1.25,63.87,48.00
54362.08273,247,198.00,1.25,30968.30,2376.00
76912.21514,879,700.80,1.25,6429.56,8409.60
90041.57909,1265,1010.40,1.25,7959.06,12124.80
98805.82762,10,8.00,1.25,1151.09,96.00
12342.41834,121,98.40,1.23,2458.46,1180.80
12710.49911,3840,3130.80,1.23,27403.30,37569.60
44002.60198,5359,4365.60,1.23,43546.82,52387.20
69017.25451,174,141.00,1.23,6955.54,1692.00
80846.9168,65,52.80,1.23,3707.67,633.60
9502.657564,27,22.00,1.23,974.11,264.00
76274.03088,134,109.80,1.22,2678.78,1317.60
42375.4568,16941,14014.80,1.21,127037.57,168177.60
65992.87814,48,39.60,1.21,931.34,475.20
8198.375067,2753,2278.80,1.21,14758.43,27345.60
82649.02655,636,524.80,1.21,8983.80,6297.60
14394.16336,149,124.20,1.20,1031.80,1490.40
27500.37361,79,65.60,1.20,1014.72,787.20
52905.99673,148,123.20,1.20,1345.29,1478.40
57354.62085,522,436.80,1.20,7359.34,5241.60
74844.42322,33888,28209.60,1.20,254735.82,338515.20
89401.79275,2659,2209.20,1.20,20132.88,26510.40
92629.19002,129,107.20,1.20,1266.95,1286.40
16751.60479,417,350.40,1.19,32762.45,4204.80
19580.97749,32,27.00,1.19,1791.98,324.00
2893.488088,146,122.40,1.19,3682.53,1468.80
46753.79928,17958,15060.00,1.19,134153.60,180720.00
95171.47714,32,27.00,1.19,1186.60,324.00
38742.02771,663,560.00,1.18,5510.76,6720.00
6038.437072,192,162.80,1.18,10733.38,1953.60
78037.70635,36,30.60,1.18,3354.34,367.20
90641.8808,519,439.20,1.18,3277.00,5270.40
21988.10598,151,129.60,1.17,8678.59,1555.20
23921.16203,7,6.00,1.17,239.16,72.00
32369.28162,14,12.00,1.17,137.47,144.00
