sku,inventory_units_on_hand,reorder_point,units_below_reorder_point,daily_demand,lead_time_days,safety_stock,on_hand_stock_value
40922.61774,35212,57185.35,21973.35,464.72,87,16754.71,297227.26
39743.43884,8545,29947.58,21402.58,865.80,31,3107.78,66039.34
87489.68716,12156,33494.47,21338.47,721.76,43,2458.79,102665.93
49404.04188,5868,26329.81,20461.81,716.17,30,4844.61,130444.90
83385.07533,7092,26487.33,19395.33,472.33,42,6649.33,74072.66
56308.83258,13983,32326.21,18343.21,1113.65,23,6712.18,101589.20
99155.5808,3981,21945.16,17964.16,1764.25,12,774.12,19966.35
3242.202969,5608,23264.39,17656.39,165.48,122,3075.83,83210.50
3168.332644,4688,22230.20,17542.20,252.67,78,2522.20,35422.33
31844.01405,34794,52064.57,17270.57,771.49,41,20433.34,212412.75
83005.11665,6017,23182.65,17165.65,913.32,23,2176.29,33597.36
99848.49526,6467,23515.41,17048.41,124.67,130,7308.75,180016.95
56095.15083,8957,25676.41,16719.41,368.57,58,4299.16,146603.73
49628.93981,2961,19038.72,16077.72,803.29,23,562.98,39604.56
88893.99833,2776,18787.90,16011.90,797.43,23,447.09,43223.23
68621.70154,19512,35409.01,15897.01,405.52,66,8644.69,145614.90
57821.70364,7654,23485.43,15831.43,325.56,58,4602.95,133868.67
28535.78795,5432,21217.38,15785.38,495.72,36,3371.46,150567.98
82550.86699,16281,31966.32,15685.32,1004.27,23,8868.19,123750.20
18011.47757,4537,20130.45,15593.45,377.08,44,3538.93,57288.34
18112.22332,4093,19401.40,15308.40,709.50,23,3082.90,29621.55
46753.79928,17958,33260.54,15302.54,502.00,44,11172.54,134153.60
11902.9736,9762,24992.24,15230.24,324.28,49,9102.52,70479.53
1627.077928,4521,19242.00,14721.00,405.48,43,1806.36,35511.61
38229.3787,6131,20764.50,14633.50,383.76,51,1192.74,47663.80
32535.36267,4087,18583.73,14496.73,239.16,72,1364.21,28362.67
24320.22778,5494,19916.98,14422.98,802.39,23,1462.08,40566.70
4642.238692,13446,27613.43,14167.43,310.52,66,7119.11,101797.50
58344.90294,4042,17987.52,13945.52,157.00,87,4328.52,126469.37
23278.46785,3169,16722.78,13553.78,349.21,42,2055.82,35675.64
18596.89763,3240,16541.15,13301.15,414.24,37,1214.27,30713.07
69432.77751,12351,24364.69,12013.69,1798.48,11,4581.41,89797.18
63575.69139,3199,15210.24,12011.24,294.50,43,2546.74,26026.61
63798.28568,5759,17711.31,11952.31,444.59,33,3039.95,75606.22
4632.399445,9462,21241.71,11779.71,746.20,23,4079.11,53445.63
16141.79206,3268,15041.54,11773.54,285.27,46,1919.28,23457.73
15371.66377,6404,18044.87,11640.87,973.55,16,2468.13,33895.45
72433.88595,4272,15781.80,11509.80,388.64,37,1402.12,40204.02
56336.00866,2210,13622.33,11412.33,332.17,38,1000.00,14472.65
28063.98004,9969,21363.96,11394.96,506.90,31,5650.06,70972.29
69878.71086,11320,22607.12,11287.12,253.52,71,4607.20,81314.61
2333.247696,7466,18541.10,11075.10,338.80,44,3633.90,52711.62
35617.26411,3336,14355.04,11019.04,522.28,23,2342.60,149293.10
82122.44457,4433,15364.73,10931.73,108.53,108,3643.13,47936.93
71829.76937,2894,13586.78,10692.78,655.20,19,1137.98,48070.34
4831.799117,27868,38541.59,10673.59,445.50,66,9138.59,206469.66
34924.93689,3247,13703.89,10456.89,1064.21,11,1997.55,28623.44
68878.30081,8071,18105.72,10034.72,92.16,123,6770.04,284676.08
67689.42493,1435,11031.04,9596.04,689.44,16,0.00,32969.82
22916.56386,1858,11117.61,9259.61,349.30,30,638.61,47239.85
6029.396022,5150,14347.12,9197.12,504.00,23,2755.12,42327.45
1365.039104,2694,11789.98,9095.98,251.28,45,482.38,31962.01
69336.6739,14884,23968.34,9084.34,374.45,58,2250.05,105195.27
38413.66891,1246,10151.82,8905.82,114.55,85,415.35,15445.83
93898.13441,4993,13709.80,8716.80,399.08,23,4530.96,37261.02
53642.5735,3467,12131.06,8664.06,760.61,12,3003.70,37631.75
69877.27583,2762,11346.90,8584.90,100.91,87,2568.02,90601.77
8431.172843,7619,16093.18,8474.18,365.00,32,4413.18,56798.45
41409.2889,10091,18229.15,8138.15,777.97,21,1891.71,75196.85
22511.99721,23621,31634.84,8013.84,1338.67,19,6200.17,167861.13
34523.52836,2491,10448.13,7957.13,356.50,23,2248.63,35574.35
56242.56638,2994,10885.26,7891.26,390.13,26,741.80,21078.57
62977.65315,4289,12130.46,7841.46,172.63,51,3326.50,24267.20
64596.80984,2623,10454.93,7831.93,588.84,16,1033.49,16631.92
44090.41583,3200,10994.21,7794.21,517.00,16,2722.21,39594.31
90403.3881,4122,11912.98,7790.98,251.97,33,3597.86,29609.53
94862.77623,8387,16175.88,7788.88,505.96,23,4538.80,59745.28
79112.17361,3276,10985.55,7709.55,70.00,130,1885.55,86818.09
64275.43798,5866,13575.32,7709.32,178.56,58,3218.84,38129.49
5742.090902,1352,9042.14,7690.14,783.80,11,420.34,41129.99
94414.55339,2518,10164.86,7646.86,637.33,12,2516.86,30768.52
68655.67308,6505,14056.33,7551.33,114.55,66,6496.25,48217.92
79482.93109,3916,11354.12,7438.12,328.25,31,1178.26,21842.35
73327.4254,3343,10763.36,7420.36,243.17,33,2738.64,43192.00
63513.44727,3351,10680.28,7329.28,442.77,23,496.50,27035.06
51157.75623,10820,17950.79,7130.79,189.84,66,5421.35,112237.43
10198.98596,4103,11163.59,7060.59,580.90,16,1869.19,29473.20
76235.86954,4711,11677.90,6966.90,142.96,66,2242.54,575271.59
85993.0033,4845,11800.99,6955.99,115.76,88,1614.11,65624.83
18728.79269,2238,9126.38,6888.38,123.93,61,1566.44,29845.88
88457.06741,4806,11666.12,6860.12,172.72,58,1648.36,35930.28
91487.04292,12075,18802.54,6727.54,352.48,35,6465.74,177154.27
98453.01234,3203,9871.29,6668.29,316.00,21,3235.29,23182.42
11938.60819,2993,9611.20,6618.20,521.28,16,1270.72,91059.93
71185.22702,2213,8818.83,6605.83,185.68,38,1762.99,46570.63
72476.04079,2384,8947.72,6563.72,159.44,52,656.84,31282.81
96256.89429,2307,8849.46,6542.46,274.88,30,603.06,29591.74
84896.52428,12108,18621.21,6513.21,551.04,23,5947.29,98832.88
16032.9716,3808,10186.68,6378.68,139.50,59,1956.18,32398.81
69248.1887,2398,8720.16,6322.16,190.96,35,2036.56,47340.24
42518.77956,668,6853.00,6185.00,163.17,42,0.00,5762.79
88657.84393,3485,9647.15,6162.15,217.07,30,3135.15,25451.37
23498.26719,1123,7213.71,6090.71,145.35,44,818.45,32665.19
25048.87383,2338,8362.15,6024.15,617.83,10,2183.82,16090.94
89009.13269,1635,7555.44,5920.44,72.17,81,1709.94,399711.80
30629.55147,6314,12172.80,5858.80,500.37,21,1664.96,97438.91
56443.5394,3546,9348.87,5802.87,304.21,30,222.47,26586.93
7725.185229,8466,14233.76,5767.76,339.84,30,4038.56,70220.50
93757.32748,2515,8270.11,5755.11,269.12,28,734.75,35739.57
47951.68833,1795,7498.12,5703.12,298.70,23,628.02,46210.46
29076.92688,5857,11463.81,5606.81,766.55,11,3031.80,43245.84
73291.86838,1114,6712.00,5598.00,63.00,101,349.00,35298.86
5461.554491,1427,7022.27,5595.27,68.17,88,1023.60,10193.40
64934.32412,3311,8734.59,5423.59,95.76,80,1073.79,77217.59
67855.63481,7719,13048.07,5329.07,257.34,44,1725.11,41942.39
95637.65634,2923,8193.88,5270.88,269.28,23,2000.44,30433.06
12338.91806,2135,7405.29,5270.29,290.64,21,1301.85,20838.59
3596.258665,1207,6470.01,5263.01,66.17,81,1110.51,46040.87
20353.36609,2933,8108.10,5175.10,50.45,101,3012.32,116998.48
30446.83697,2663,7743.22,5080.22,159.44,45,568.42,16734.66
80337.50935,9149,14130.80,4981.80,126.00,73,4932.80,49098.75
86564.39253,5323,10273.76,4950.76,319.95,23,2914.98,39727.91
17877.58278,41151,46064.47,4913.47,507.20,76,7517.27,294228.16
98629.22568,3853,8764.10,4911.10,397.55,16,2403.35,30471.41
75376.51236,1873,6779.04,4906.04,88.20,66,957.84,242701.15
93594.20805,1339,6221.87,4882.87,144.95,40,424.00,23537.85
33662.68414,2964,7821.38,4857.38,92.12,66,1741.46,92389.58
9089.83595,5106,9924.46,4818.46,191.68,44,1490.54,129909.92
55531.14298,2933,7560.39,4627.39,103.79,58,1540.76,37030.66
60355.84501,1337,5959.55,4622.55,78.17,61,1191.39,17198.04
37405.54347,20289,24793.23,4504.23,209.60,66,10959.63,151412.46
12389.93222,2430,6931.93,4501.93,55.15,79,2575.35,335783.93
81228.37722,604,4997.10,4393.10,132.29,35,366.83,21371.86
98395.41806,1418,5804.06,4386.06,141.36,37,573.74,114227.80
36309.32121,1561,5876.63,4315.63,112.64,43,1033.11,13649.47
7028.020895,1886,6179.42,4293.42,56.76,93,900.74,10502.74
64571.78884,7973,12197.54,4224.54,272.32,31,3755.62,59140.89
42076.92509,3399,7593.60,4194.60,439.76,16,557.44,111239.64
61716.77149,4633,8774.55,4141.55,167.73,44,1394.28,132267.47
34274.56174,2191,6326.07,4135.07,117.33,33,2454.07,22858.95
83637.23189,2954,7088.82,4134.82,135.04,42,1417.14,17809.12
63421.99319,1381,5455.90,4074.90,136.83,30,1350.90,17339.72
77635.18409,2829,6744.56,3915.56,198.24,30,797.36,25577.93
49467.87115,2633,6473.77,3840.77,147.48,32,1754.41,15955.13
75182.03375,4642,8422.13,3780.13,106.80,44,3722.93,32835.17
29387.11002,1742,5519.32,3777.32,116.31,43,518.13,15905.04
67486.73281,2778,6494.82,3716.82,83.81,62,1298.39,29003.97
46174.19704,253,3921.35,3668.35,134.40,29,23.75,160463.20
37118.06545,1279,4888.39,3609.39,74.72,58,554.63,164863.15
63214.18444,916,4501.92,3585.92,130.08,33,209.28,5876.82
49940.1708,2069,5555.14,3486.14,117.00,33,1694.14,74957.12
85781.62452,1264,4723.16,3459.16,59.28,66,810.68,160101.66
10644.09722,1711,5153.68,3442.68,832.80,5,989.68,12803.25
66898.45026,3470,6910.27,3440.27,33.28,130,2583.87,131594.09
55020.73056,2334,5764.03,3430.03,214.08,23,840.19,25696.87
32397.04157,8669,12091.05,3422.05,212.37,46,2321.88,84209.72
70136.47095,1987,5255.57,3268.57,61.90,66,1170.17,44978.70
30805.18253,1203,4470.63,3267.63,220.33,16,945.30,7702.45
7137.726453,1223,4456.82,3233.82,176.73,22,568.68,6440.20
30570.48898,880,4103.69,3223.69,86.40,41,561.29,23774.03
66529.1874,1697,4918.28,3221.28,102.36,37,1130.96,14666.00
99408.71991,3045,6244.86,3199.86,127.80,35,1771.86,21605.25
38880.52514,2932,6107.44,3175.44,159.76,33,835.36,19081.23
35915.04203,1496,4616.34,3120.34,175.10,23,589.04,40706.03
23548.24418,2141,5255.28,3114.28,141.87,28,1283.01,36627.48
48074.25459,1888,4994.33,3106.33,54.41,78,750.09,22849.01
66606.75227,17945,21011.57,3066.57,100.24,115,9483.97,110267.88
82315.40602,1903,4952.35,3049.35,152.96,30,363.55,17484.47
33116.19225,3268,6233.78,2965.78,154.56,35,824.18,42787.57
93732.1487,967,3874.59,2907.59,103.84,30,759.39,15722.79
24000.84476,4110,7003.82,2893.82,102.24,53,1585.10,24412.64
65708.3253,1028,3867.23,2839.23,99.73,30,875.23,18142.64
80283.87575,1978,4811.02,2833.02,155.28,22,1394.86,18475.15
48698.09401,631,3399.81,2768.81,92.33,33,352.81,14004.20
4569.760124,1595,4356.69,2761.69,147.95,23,953.91,64463.69
72091.99853,1439,4173.24,2734.24,65.27,46,1170.97,10385.72
91641.45053,2106,4810.48,2704.48,21.36,141,1798.72,87992.86
13833.06592,2099,4800.68,2701.68,56.00,76,544.68,13396.43
3757.355247,533,3207.24,2674.24,233.17,12,409.24,6655.34
67332.30068,1096,3645.08,2549.08,95.85,33,481.92,99239.78
74396.47976,2454,4990.08,2536.08,79.72,58,366.32,45283.88
74989.5713,1448,3962.34,2514.34,70.55,37,1352.12,12512.09
62250.83184,5103,7609.49,2506.49,106.29,57,1550.77,201302.14
42672.92788,1116,3593.91,2477.91,33.29,78,997.03,13503.69
23986.33804,12539,15001.58,2462.58,268.85,44,3172.04,74175.86
78653.37195,2193,4649.90,2456.90,130.56,23,1647.02,15047.64
41023.89821,2142,4598.05,2456.05,104.16,40,431.65,10804.48
39582.74355,1603,4054.19,2451.19,12.17,181,1852.02,14969.42
25890.6082,2231,4663.46,2432.46,193.56,16,1566.50,13447.73
53960.60565,1065,3491.75,2426.75,157.00,16,979.75,7160.41
90793.93472,1706,4124.00,2418.00,103.52,33,707.84,53500.03
12583.73606,1171,3555.23,2384.23,39.83,61,1125.40,7371.87
88284.20088,6696,9048.58,2352.58,74.40,75,3468.58,51709.19
9309.664142,716,3030.75,2314.75,57.64,44,494.59,5777.78
44410.82251,1135,3447.95,2312.95,267.76,11,502.59,37132.24
46846.80048,1346,3658.28,2312.28,18.48,123,1385.24,32912.74
60478.8553,975,3286.77,2311.77,458.40,6,536.37,7079.00
39413.5795,955,3264.75,2309.75,94.89,27,702.63,5794.33
97523.24943,694,2986.46,2292.46,80.67,33,324.46,5661.37
20540.37645,4723,7001.58,2278.58,202.16,23,2351.90,35416.78
72167.89241,981,3255.67,2274.67,112.84,26,321.83,19655.70
96657.5001,4817,7035.52,2218.52,300.40,23,126.32,29513.22
97672.2991,812,2945.47,2133.47,469.04,5,600.27,5591.79
280.7880631,1107,3234.87,2127.87,81.70,34,457.07,12543.43
96799.14512,627,2743.59,2116.59,55.15,40,537.72,17641.00
67330.82858,1109,3210.56,2101.56,40.50,66,537.56,15291.03
19193.13063,2114,4214.85,2100.85,123.70,23,1369.75,28943.02
55243.20891,706,2789.21,2083.21,29.00,68,817.21,110940.24
51627.95997,1828,3876.35,2048.35,226.43,13,932.81,13133.86
26941.50665,3770,5768.50,1998.50,135.84,35,1014.10,49543.27
15017.43446,959,2949.00,1990.00,47.70,52,468.60,9744.20
87697.91586,926,2905.40,1979.40,129.50,16,833.40,5203.16
3243.390147,1442,3420.23,1978.23,55.04,52,558.15,27187.20
96750.54531,1272,3238.41,1966.41,44.59,46,1187.42,9095.54
63320.62117,649,2587.96,1938.96,42.50,44,717.96,19419.42
41041.53084,712,2649.83,1937.83,97.17,21,609.33,5556.83
70689.35104,2513,4394.51,1881.51,55.36,62,962.19,15733.68
40486.81469,516,2397.16,1881.16,68.83,28,469.82,7800.29
49937.31222,1630,3492.83,1862.83,123.92,23,642.67,12530.52
8120.820974,345,2186.97,1841.97,58.23,35,149.04,3189.03
25337.73744,6098,7934.77,1836.77,72.27,87,1647.57,47978.81
2465.773782,1864,3696.28,1832.28,90.60,28,1159.48,29441.28
33428.60448,2198,4024.04,1826.04,49.02,68,690.68,46190.36
3430.48939,841,2660.78,1819.78,93.13,22,611.84,4302.97
98292.19693,98,1901.52,1803.52,54.00,35,11.52,8127.21
55870.75261,6500,8289.29,1789.29,72.80,66,3484.49,61222.90
79937.84794,424,2211.39,1787.39,31.00,60,351.39,7879.77
75128.79596,2286,4055.05,1769.05,232.21,16,339.64,12787.98
50290.72633,306,2070.14,1764.14,143.50,13,204.64,9841.46
55712.61767,1152,2889.10,1737.10,26.69,66,1127.34,10857.63
37616.39721,2030,3763.67,1733.67,94.60,26,1304.07,21276.17
33414.02194,2619,4330.28,1711.28,114.64,35,317.88,22841.06
63570.17856,731,2432.39,1701.39,53.97,33,651.27,8074.51
73985.47922,524,2212.03,1688.03,62.92,31,261.51,3541.56
14894.11729,1519,3197.70,1678.70,29.49,76,956.21,45130.44
70466.39833,803,2469.02,1666.02,58.32,32,602.78,68393.33
58137.15511,948,2609.88,1661.88,78.10,27,501.18,21980.24
65657.65403,1042,2689.67,1647.67,149.45,12,896.23,5435.56
80784.06957,7449,9090.18,1641.18,104.59,66,2187.46,55592.57
39287.16927,595,2212.81,1617.81,60.76,33,207.73,6167.06
86600.20453,1368,2967.32,1599.32,134.60,16,813.72,17410.16
9755.440137,2038,3618.07,1580.07,230.56,11,1081.91,113320.11
20968.31645,705,2279.97,1574.97,58.00,26,771.97,11443.45
82197.08445,1018,2588.58,1570.58,62.33,26,967.92,9914.22
79780.34904,8272,9834.32,1562.32,336.90,21,2759.42,46953.20
7536.769747,565,2110.95,1545.95,69.37,23,515.36,14888.62
92222.6744,598,2140.86,1542.86,76.20,24,312.06,6258.37
23852.51996,1777,3309.00,1532.00,69.36,26,1505.64,28600.69
44607.35256,287,1817.22,1530.22,49.28,32,240.26,40432.19
87190.2062,730,2244.52,1514.52,77.70,23,457.42,32884.62
92696.22767,1254,2757.76,1503.76,109.86,23,230.98,13972.58
70551.67392,295,1788.82,1493.82,159.70,11,32.12,3134.09
93176.32465,563,2041.63,1478.63,91.00,16,585.63,10480.79
62360.0844,703,2177.34,1474.34,138.16,11,657.58,14047.64
70191.94028,655,2127.49,1472.49,48.11,31,636.18,39154.35
35565.33108,840,2310.61,1470.61,166.44,11,479.77,4450.71
68144.5966,1076,2544.81,1468.81,94.20,21,566.61,10832.09
88086.29948,1201,2657.76,1456.76,24.30,78,762.36,16455.94
23113.94007,482,1920.45,1438.45,56.00,25,520.45,10344.05
17766.48626,1173,2608.92,1435.92,28.70,70,599.92,6789.25
89822.0946,1075,2493.20,1418.20,20.83,73,972.86,5406.36
915.1744482,431,1845.74,1414.74,141.72,12,145.10,7028.54
19439.60814,952,2366.28,1414.28,82.88,21,625.80,56004.29
36031.03594,495,1897.56,1402.56,37.40,38,476.36,19967.49
93718.02454,1747,3136.90,1389.90,125.64,21,498.46,15531.62
22592.41647,2766,4149.84,1383.84,27.52,97,1480.40,44489.65
80969.10545,536,1907.94,1371.94,31.15,51,319.46,45584.21
62012.31696,842,2209.10,1367.10,106.32,16,507.98,5865.22
3551.005172,1012,2375.28,1363.28,106.80,16,666.48,6585.50
44305.27234,2509,3871.61,1362.61,79.72,45,284.21,18206.74
75376.46112,1001,2359.00,1358.00,79.08,21,698.32,6421.26
59688.16531,807,2158.26,1351.26,39.67,46,333.60,5711.95
28.25267997,477,1820.47,1343.47,67.61,23,265.36,3574.45
80947.58702,10325,11663.97,1338.97,147.16,65,2098.57,95814.94
54211.1528,693,2024.33,1331.33,45.12,33,535.37,17667.12
10741.3015,1350,2678.40,1328.40,78.93,22,941.87,13948.91
80233.63754,524,1851.13,1327.13,279.84,5,451.93,5720.45
10728.18783,1094,2416.64,1322.64,43.20,37,818.24,8099.92
79438.78059,2111,3430.34,1319.34,10.12,111,2307.02,16193.06
35927.35771,794,2110.57,1316.57,162.21,11,326.23,5501.51
98586.72215,1668,2981.92,1313.92,48.60,33,1378.12,15805.41
73887.80966,602,1907.09,1305.09,118.00,11,609.09,4264.21
75443.06423,287,1584.68,1297.68,37.17,37,209.51,2651.20
94452.9786,335,1631.78,1296.78,51.63,27,237.86,3909.57
77443.78208,1360,2656.61,1296.61,102.40,23,301.41,14037.47
62443.94466,539,1832.28,1293.28,17.89,76,472.39,7567.56
52376.6073,641,1932.13,1291.13,48.11,27,633.25,29380.12
18966.89772,1342,2632.07,1290.07,61.50,30,787.07,10185.89
19661.95471,810,2085.50,1275.50,46.35,41,185.28,18236.39
45494.15842,973,2241.42,1268.42,35.84,46,592.78,7240.03
97364.80366,879,2136.42,1257.42,64.56,23,651.54,8934.49
21094.16479,394,1644.87,1250.87,56.67,23,341.54,3889.73
31119.19079,579,1826.50,1247.50,121.59,11,489.04,4385.89
66650.70302,1024,2270.34,1246.34,56.76,27,737.82,6476.51
62587.99301,586,1832.28,1246.28,17.89,76,472.39,6168.30
67863.27004,1128,2368.69,1240.69,149.20,12,578.29,6437.65
67794.64548,2986,4213.46,1227.46,16.99,130,2005.19,77743.50
68005.84706,721,1913.13,1192.13,135.84,11,418.89,4771.89
95060.09803,481,1670.97,1189.97,102.84,13,334.05,8031.64
56625.98059,495,1676.56,1181.56,49.60,28,287.76,7893.83
88372.4601,1108,2288.81,1180.81,66.96,21,882.65,12859.21
35496.07527,1183,2359.04,1176.04,27.25,62,669.33,11076.78
88579.59732,603,1777.08,1174.08,147.20,11,157.88,4332.75
75778.01045,424,1592.20,1168.20,22.32,60,253.00,7862.35
94947.71683,406,1565.95,1159.95,21.84,60,255.55,10464.31
91222.74032,1644,2787.90,1143.90,20.96,108,524.22,49157.52
41997.10601,551,1692.55,1141.55,279.00,5,297.55,3253.61
63660.10815,205,1341.04,1136.04,35.83,33,158.54,1433.09
17244.61854,604,1730.82,1126.82,77.15,16,496.48,4167.02
22009.69213,472,1581.93,1109.93,15.12,88,251.37,3221.96
99787.72463,287,1394.52,1107.52,32.71,37,184.37,2651.19
27776.26972,3834,4939.76,1105.76,31.12,94,2014.48,29044.39
50753.1553,771,1870.72,1099.72,48.69,23,750.77,8967.40
23279.88664,207,1305.72,1098.72,100.44,13,0.00,140154.28
31580.12914,234,1329.43,1095.43,97.17,12,163.43,3540.96
14429.98443,524,1608.75,1084.75,45.76,31,190.19,3541.56
33062.92628,632,1716.31,1084.31,20.40,60,492.31,16996.97
78565.34973,657,1741.06,1084.06,22.33,46,713.73,4568.90
14203.87101,446,1527.95,1081.95,84.19,13,433.53,11750.65
69222.79091,890,1963.03,1073.03,109.36,16,213.27,5243.60
58870.79322,805,1877.15,1072.15,31.53,35,773.49,5920.63
43048.89302,2780,3850.23,1070.23,38.88,62,1439.67,24597.02
52704.84913,1588,2652.21,1064.21,51.12,37,760.77,13218.86
12779.51295,1015,2070.51,1055.51,32.71,31,1056.60,9184.20
66926.05819,294,1349.31,1055.31,50.67,21,285.31,4375.97
2394.595154,379,1423.92,1044.92,61.33,17,381.25,3982.29
49987.42053,462,1503.75,1041.75,18.60,68,238.95,9908.94
96233.84203,717,1756.75,1039.75,51.00,25,481.75,6841.04
97164.69178,168,1207.74,1039.74,8.95,123,107.30,4198.31
13693.42423,720,1756.87,1036.87,50.45,21,697.35,6088.88
28074.48401,1363,2393.48,1030.48,55.84,38,271.56,9764.26
44086.45057,1549,2576.16,1027.16,38.48,61,228.88,17259.91
89401.79275,2659,3684.66,1025.66,73.64,27,1696.38,20132.88
97658.69905,1495,2520.01,1025.01,71.16,33,171.73,12864.45
46978.24183,351,1364.02,1013.02,39.36,28,261.94,30222.19
44002.60198,5359,6368.62,1009.62,145.52,37,984.38,43546.82
21539.09202,804,1813.31,1009.31,85.76,17,355.39,24582.04
19725.13695,292,1293.76,1001.76,37.20,31,140.56,7665.79
11660.51327,1249,2244.29,995.29,32.08,51,608.21,21819.60
94223.26804,745,1736.46,991.46,14.64,76,623.82,29002.55
90041.57909,1265,2251.54,986.54,33.68,51,533.86,7959.06
21062.89384,563,1549.53,986.53,33.88,31,499.25,4071.67
32462.07942,108,1090.19,982.19,79.50,13,56.69,2365.59
76211.07499,371,1350.47,979.47,44.59,23,324.98,6010.28
32538.50344,1709,2683.76,974.76,63.84,35,449.36,33735.15
63816.3017,734,1679.93,945.93,47.47,27,398.33,4455.73
87706.61221,1982,2924.17,942.17,202.88,12,489.61,14235.73
89669.53586,246,1180.57,934.57,39.84,27,104.89,1768.65
35027.40025,1259,2193.43,934.43,49.17,27,865.75,9046.96
41079.60145,459,1391.95,932.95,19.41,60,227.15,12013.09
42177.39672,824,1748.52,924.52,91.68,17,189.96,19900.82
14606.23724,263,1184.86,921.86,35.05,28,203.37,3354.98
60161.15634,867,1786.63,919.63,92.16,12,680.71,7147.80
53493.12248,222,1120.12,898.12,29.16,35,99.52,2565.14
848.0809453,730,1616.82,886.82,34.47,27,686.22,4235.90
30739.83347,473,1350.85,877.85,24.70,46,214.65,3484.25
32745.01858,544,1418.82,874.82,32.80,33,336.42,10171.32
9076.599167,1431,2300.51,869.51,19.32,76,832.19,9668.30
91203.71952,921,1783.83,862.83,22.80,46,735.03,7889.53
