sku,inventory_units_on_hand,projected_average_monthly_demand,months_of_inventory_coverage,reorder_point,lead_time_days,on_hand_stock_value
44081.15571,9,110.00,0.08,60.36,15,179.77
50997.24849,2,25.00,0.08,19.21,21,172.78
56400.75485,1,12.00,0.08,2.40,4,540.96
57719.39021,3,39.60,0.08,9.46,5,142.26
60451.34082,6,74.80,0.08,43.78,16,355.59
64151.56084,18,215.60,0.08,51.04,5,114.98
64862.27061,55,684.00,0.08,177.65,6,3373.53
82987.78397,2,25.00,0.08,5.97,5,38.00
86793.40418,5,65.00,0.08,15.52,5,56.65
87621.46342,14,165.60,0.08,23.22,3,149.59
98215.01082,33,416.00,0.08,95.53,5,1110.26
99155.5808,3981,52927.60,0.08,21945.16,12,19966.35
10529.6734,2,22.00,0.09,5.25,5,15.19
1132.416829,2,21.60,0.09,3.07,3,600.69
12151.20378,11,125.00,0.09,128.04,28,1067.26
21448.01887,2,21.60,0.09,8.69,11,51.68
21917.13829,2,21.60,0.09,8.69,11,119.72
2199.098984,14,162.80,0.09,38.87,5,111.91
28439.44014,3,32.40,0.09,18.96,16,58.47
36540.19919,13,145.20,0.09,34.67,5,68.22
62848.09046,75,818.40,0.09,204.56,5,569.43
63670.75083,38,439.20,0.09,96.84,5,239.94
64524.54055,27,285.60,0.09,83.59,8,159.37
64933.26732,2,22.00,0.09,6.44,8,10.19
7989.807903,60,660.00,0.09,157.60,5,325.72
88499.43008,48,510.00,0.09,217.77,11,259.74
92433.65716,4,45.00,0.09,10.75,5,20.27
1610.023411,3,28.80,0.10,6.88,5,29.51
21392.91957,196,1936.80,0.10,509.69,5,1674.41
33926.56945,22,225.00,0.10,68.86,6,261.68
34924.93689,3247,31926.40,0.10,13703.89,11,28623.44
38857.4034,9,92.40,0.10,20.00,5,82.24
43993.27283,6,61.20,0.10,14.61,5,544.66
5955.445524,309,3099.60,0.10,280.94,2,5217.52
66054.84358,4,39.60,0.10,23.18,16,44.59
7170.446972,127,1237.20,0.10,102.08,2,743.09
71873.54123,26,248.40,0.10,66.94,6,167.59
84472.29913,55,524.40,0.10,66.18,3,2452.08
86221.78178,15,153.00,0.10,27.99,5,90.13
89175.46102,18,175.20,0.10,23.50,3,1151.19
90520.7083,135,1296.00,0.10,436.16,8,1226.40
915.1744482,431,4251.60,0.10,1845.74,12,7028.54
9615.943625,4,39.00,0.10,22.83,16,147.42
14288.30803,17,148.40,0.11,39.81,6,303.89
1438.094411,5,45.00,0.11,26.34,16,25.93
18814.27596,7,61.20,0.11,20.50,8,51.46
21901.57739,11,99.00,0.11,28.97,8,61.07
25506.41763,67,610.00,0.11,278.19,11,1129.80
26378.62985,5,46.80,0.11,11.17,5,47.98
29275.11571,114,1015.00,0.11,690.84,17,1139.19
32116.59585,79,710.00,0.11,360.28,11,1347.18
32963.11452,10,92.40,0.11,54.09,16,78.04
38520.56874,2,18.00,0.11,4.72,5,92.21
48155.2649,5,45.00,0.11,26.34,16,56.82
5762.614267,180,1666.00,0.11,234.93,2,3444.26
58730.32383,3,27.00,0.11,10.87,11,27.64
65537.65773,563,5094.00,0.11,1143.92,5,3281.04
7029.358676,234,2134.40,0.11,897.08,11,1692.89
77655.76465,14,133.20,0.11,77.97,16,287.70
82235.37377,7,65.00,0.11,38.05,16,66.53
84231.26987,16,147.60,0.11,37.34,5,401.15
84554.93203,2,18.00,0.11,4.30,5,26.57
86262.20054,16,145.00,0.11,41.55,5,108.27
9459.675836,152,1408.00,0.11,344.78,5,953.13
98708.20039,86,813.00,0.11,181.74,5,514.85
1912.492979,15,125.00,0.12,48.37,8,145.25
25454.28311,14,114.80,0.12,27.41,5,128.37
33850.33114,116,928.40,0.12,384.87,8,1221.86
37503.0496,7,60.00,0.12,11.56,4,542.79
40644.05282,8,67.20,0.12,16.05,5,71.17
43598.46964,17,145.00,0.12,99.48,16,1545.23
49628.93981,2961,24098.80,0.12,19038.72,23,39604.56
55583.32874,81,676.80,0.12,189.68,7,1183.13
63038.37697,30,250.80,0.12,72.62,5,346.65
7168.284088,158,1279.60,0.12,305.54,5,3487.39
7222.37229,10,85.00,0.12,32.47,8,80.53
73991.93826,3,25.00,0.12,10.04,8,30.71
79960.39306,352,2899.60,0.12,744.74,4,3179.27
81114.43459,9,75.60,0.12,37.06,12,1083.73
85652.9908,7,58.80,0.12,14.58,5,269.61
88893.99833,2776,23922.80,0.12,18787.90,23,43223.23
10047.9373,133,1015.00,0.13,381.18,8,987.85
13083.50333,10,75.00,0.13,17.91,5,70.29
19941.46742,65,496.80,0.13,112.57,5,552.90
21391.12157,88,695.20,0.13,456.64,16,1091.70
22636.42443,1,8.00,0.13,1.36,3,309.93
23375.12566,2,15.00,0.13,8.78,16,80.40
25048.87383,2338,18535.00,0.13,8362.15,10,16090.94
27235.48519,5,39.00,0.13,21.40,15,88.82
29174.32198,1,8.00,0.13,2.34,8,38.30
29408.85344,15,118.80,0.13,91.27,21,442.41
30292.65585,2,15.00,0.13,4.39,8,10.19
30492.923,23,182.00,0.13,49.04,6,219.35
3131.117452,16,118.80,0.13,32.47,5,151.13
34368.34819,10,74.80,0.13,28.58,8,93.79
36272.20584,63816,505529.20,0.13,360340.12,21,334335.46
36888.23023,1,8.00,0.13,2.34,8,34.92
44289.2047,42,321.60,0.13,72.87,5,521.11
44624.30577,35,260.40,0.13,62.18,5,272.54
55482.66358,2,15.00,0.13,5.54,8,132.57
60386.38837,25,195.20,0.13,88.15,11,2380.10
64312.54785,2,15.00,0.13,3.89,5,14.77
72201.46064,633,4840.80,0.13,1067.39,5,4209.98
92084.2001,3,23.40,0.13,3.32,3,475.27
94414.55339,2518,19120.00,0.13,10164.86,12,30768.52
99727.35474,10,74.80,0.13,28.58,8,79.47
19252.2782,21,147.60,0.14,43.34,5,2332.60
19715.918,3,22.00,0.14,9.37,8,81.67
19739.63902,3,22.00,0.14,18.51,23,64.12
24295.59651,13,90.00,0.14,55.90,16,402.36
2890.793752,6,44.40,0.14,4.58,2,431.29
4089.249082,2,14.00,0.14,10.76,21,56.95
42518.77956,668,4895.00,0.14,6853.00,42,5762.79
43497.30661,19,136.80,0.14,32.39,5,224.70
44410.82251,1135,8032.80,0.14,3447.95,11,37132.24
47774.47444,5,36.40,0.14,19.97,15,81.59
5477.944621,13,92.40,0.14,29.76,5,351.28
57529.21552,39,274.40,0.14,131.16,12,1199.53
61807.91734,2,14.00,0.14,3.44,4,53.21
63005.95015,105,756.80,0.14,236.25,8,1503.67
76441.54962,188,1315.00,0.14,708.43,11,1257.13
76649.33972,5,36.40,0.14,8.69,5,32.23
79018.36345,8,57.20,0.14,17.14,5,51.27
88579.59732,603,4416.00,0.14,1777.08,11,4332.75
89304.32349,4,28.80,0.14,16.86,16,44.04
94901.17871,2,14.40,0.14,2.62,4,294.66
16165.94128,276,1817.20,0.15,581.57,5,2240.64
18223.462,4,27.00,0.15,6.45,5,20.59
18282.02917,4,27.00,0.15,15.80,16,39.26
19447.59679,8,52.20,0.15,11.40,5,735.04
24990.97608,7,46.80,0.15,18.11,8,202.46
29642.6408,56,372.60,0.15,45.28,2,1215.24
29651.51183,5,32.40,0.15,20.86,16,265.54
36904.67378,26,176.40,0.15,53.77,6,133.50
41010.12339,201,1360.80,0.15,672.33,13,1129.53
42687.20778,20,132.00,0.15,17.62,3,1238.13
51679.80795,18,122.40,0.15,22.39,5,240.90
53642.5735,3467,22818.40,0.15,12131.06,12,37631.75
59822.64397,8,54.40,0.15,16.38,6,101.32
64596.80984,2623,17665.20,0.15,10454.93,16,16631.92
65498.0716,4,27.20,0.15,7.96,8,183.03
71829.76937,2894,19656.00,0.15,13586.78,19,48070.34
80866.55668,6,39.00,0.15,22.83,16,49.19
81228.37722,604,3968.80,0.15,4997.10,35,21371.86
93675.6505,8,54.40,0.15,15.31,5,113.33
99691.56817,8809,59721.20,0.15,37480.46,16,62109.29
12512.44766,533,3273.60,0.16,678.60,5,4044.95
17003.45786,4,25.00,0.16,11.30,8,30.65
2080.125369,15,92.40,0.16,33.46,6,144.45
27512.51028,4,25.20,0.16,6.71,5,34.91
31119.19079,579,3647.60,0.16,1826.50,11,4385.89
35927.35771,794,4866.40,0.16,2110.57,11,5501.51
43037.22453,4,25.20,0.16,6.68,5,36.75
59302.89808,204,1262.80,0.16,717.52,12,1314.91
63410.09885,29,183.00,0.16,86.32,11,3027.67
63934.82728,49,306.00,0.16,179.11,16,387.46
68318.78866,29,182.00,0.16,106.53,16,259.25
7345.440177,23,145.20,0.16,45.29,5,802.37
7788.562856,10,63.00,0.16,19.59,6,159.43
88578.74314,145,883.20,0.16,201.02,5,855.55
89743.47696,4,25.20,0.16,7.38,8,97.78
90924.36709,131,810.00,0.16,589.96,16,1284.88
93034.15064,32,198.00,0.16,104.90,11,2381.53
95060.09803,481,3085.20,0.16,1670.97,13,8031.64
9568.790692,179,1096.80,0.16,441.37,11,1310.58
9888.345393,20,126.00,0.16,32.90,5,170.02
13514.24028,1,6.00,0.17,1.76,8,76.98
14522.11341,13,74.80,0.17,71.15,26,97.67
17918.84121,2,12.00,0.17,13.17,30,1484.21
18407.77463,10,58.80,0.17,34.42,16,89.63
23114.85959,223,1302.40,0.17,952.88,18,1120.49
31118.55338,6,34.80,0.17,7.64,6,32.07
31911.81543,3,18.00,0.17,5.93,6,44.07
34296.63758,15,90.00,0.17,29.85,6,153.97
35565.33108,840,4993.20,0.17,2310.61,11,4450.71
38508.48056,2,12.00,0.17,2.47,4,37.70
38731.46507,3,18.00,0.17,15.15,23,34.19
39358.36771,2,12.00,0.17,3.08,5,12.17
41592.17978,1,6.00,0.17,1.76,8,67.87
48497.52952,19,114.80,0.17,63.00,15,1038.71
48521.12752,1,6.00,0.17,1.10,5,116.79
56881.87625,56,330.00,0.17,193.16,16,469.76
620.6222247,3,18.00,0.17,10.54,16,26.04
62360.0844,703,4144.80,0.17,2177.34,11,14047.64
7120.092627,3,18.00,0.17,10.54,16,17.25
73648.21102,2,12.00,0.17,7.02,16,35.72
73887.80966,602,3540.00,0.17,1907.09,11,4264.21
75977.31324,1,6.00,0.17,1.76,8,39.63
76461.28919,45,268.40,0.17,182.45,15,1350.99
78905.07537,10,58.80,0.17,6.69,2,88.25
80417.46676,21,127.20,0.17,69.80,15,253.16
82248.32662,4,23.20,0.17,2.90,3,3945.17
84047.34263,10,57.20,0.17,24.46,8,69.38
85486.23537,1,6.00,0.17,1.76,8,11.90
89546.99097,259,1526.40,0.17,1017.83,17,7874.21
91775.97226,1,6.00,0.17,1.76,8,39.09
91854.0598,2,12.00,0.17,2.71,4,270.80
96362.12156,172,1041.60,0.17,523.28,12,1713.18
96559.89403,1,6.00,0.17,1.76,8,19.65
97384.75969,12,70.00,0.17,38.41,15,106.00
12609.24309,28,159.00,0.18,43.13,5,1034.12
14203.87101,446,2525.60,0.18,1527.95,13,11750.65
22916.56386,1858,10479.00,0.18,11117.61,30,47239.85
26415.88208,76,422.40,0.18,92.71,5,1039.01
30805.18253,1203,6610.00,0.18,4470.63,16,7702.45
37521.04229,8,45.00,0.18,22.09,8,173.13
63307.53543,72,408.80,0.18,212.35,12,1135.83
67602.561,56,318.00,0.18,142.18,11,772.72
68005.84706,721,4075.20,0.18,1913.13,11,4771.89
81266.55764,4,22.00,0.18,8.26,6,25.66
89374.89194,38,215.60,0.18,111.81,11,270.00
94413.99111,4,22.00,0.18,24.15,30,81.05
98378.27555,17,92.40,0.18,48.33,11,122.91
11938.60819,2993,15638.40,0.19,9611.20,16,91059.93
13433.72832,4,20.80,0.19,6.09,8,22.76
14287.91251,13,70.00,0.19,19.35,5,68.25
14400.80689,57,303.60,0.19,160.84,11,458.56
18112.22332,4093,21285.00,0.19,19401.40,23,29621.55
18495.56854,2,10.80,0.19,3.07,8,26.10
29459.79577,55,291.60,0.19,246.41,21,1014.03
36637.88988,6,31.20,0.19,7.10,4,41.02
40586.17221,6510,33390.00,0.19,29967.16,23,89260.97
44205.04411,74,391.60,0.19,266.13,16,571.14
44607.35256,287,1478.40,0.19,1817.22,32,40432.19
4947.666398,252,1337.60,0.19,768.42,11,1445.87
51278.72571,4,21.60,0.19,6.45,6,45.74
63660.10815,205,1075.00,0.19,1341.04,33,1433.09
66926.05819,294,1520.00,0.19,1349.31,21,4375.97
72973.15103,4,21.60,0.19,6.48,6,26.89
76289.42711,74,381.60,0.19,269.26,16,1004.26
77808.02707,65,341.60,0.19,184.10,12,1514.64
79805.55301,17,90.00,0.19,37.31,8,174.65
84269.57277,6,32.40,0.19,11.57,6,56.80
95636.9494,133,691.60,0.19,180.60,5,824.42
33231.01826,29,147.60,0.20,61.91,8,293.37
38791.91313,500,2555.20,0.20,1134.24,13,2856.41
41308.8366,59,291.60,0.20,82.95,4,958.95
47556.58701,3,15.00,0.20,14.27,26,308.32
4773.702864,136,688.80,0.20,229.57,8,946.13
47951.68833,1795,8961.00,0.20,7498.12,23,46210.46
5409.530584,135,669.60,0.20,697.32,28,2440.10
62403.27701,29,147.60,0.20,151.19,28,1159.47
64747.20442,41,205.00,0.20,157.31,16,25017.47
67616.65104,4,20.40,0.20,4.95,6,275.69
76184.56936,8,40.80,0.20,12.44,6,99.90
8120.820974,345,1746.80,0.20,2186.97,35,3189.03
97465.78026,37,184.80,0.20,83.86,11,457.38
10194.79322,34,162.00,0.21,141.73,21,1181.51
15253.35954,173,818.40,0.21,719.51,21,3928.20
16008.34214,9519,44532.40,0.21,39721.46,21,225666.09
16643.79319,13,61.20,0.21,47.02,21,76.66
18962.5671,126,604.80,0.21,161.62,5,1120.12
2394.595154,379,1840.00,0.21,1423.92,17,3982.29
28756.86246,53,249.20,0.21,145.50,13,1064.05
35617.26411,3336,15668.40,0.21,14355.04,23,149293.10
37057.50135,49,234.00,0.21,142.80,13,15885.80
44090.41583,3200,15510.00,0.21,10994.21,16,39594.31
50262.8849,86,409.20,0.21,493.99,30,1491.86
57244.61443,3,14.00,0.21,13.32,26,566.32
59027.20799,12,57.20,0.21,75.33,36,296.37
65391.11999,436,2112.00,0.21,991.49,11,2486.00
70461.63002,50,233.20,0.21,163.79,16,327.99
70982.74714,132,624.80,0.21,275.26,8,1396.74
86267.46835,10,46.80,0.21,19.86,8,71.46
89669.53586,246,1195.20,0.21,1180.57,27,1768.65
93176.32465,563,2730.00,0.21,2041.63,16,10480.79
15371.66377,6404,29206.40,0.22,18044.87,16,33895.45
15696.35309,4,18.00,0.22,8.31,8,35.26
19572.58943,73,339.20,0.22,289.53,21,1087.78
21977.15266,10,45.00,0.22,26.05,11,52.10
26059.3633,17,78.40,0.22,20.84,6,129.25
3015.299583,100,448.80,0.22,315.21,16,587.55
34071.13627,2,9.00,0.22,5.27,16,60.76
39092.32166,118,534.00,0.22,448.97,21,1512.65
40235.04519,88,396.00,0.22,478.07,33,3935.79
43781.96218,253,1135.80,0.22,395.17,8,1605.53
56336.00866,2210,9965.00,0.22,13622.33,38,14472.65
56592.45296,107,484.00,0.22,495.78,28,1216.49
58772.0459,8,36.40,0.22,11.06,5,48.02
61599.13697,7,32.40,0.22,16.80,11,45.40
65445.767,14,63.00,0.22,22.28,6,112.04
6729.404205,2,9.00,0.22,5.27,16,24.57
70857.37247,10,46.40,0.22,11.46,5,242.70
71993.10907,4,18.00,0.22,13.81,16,1154.87
72831.12371,32,145.00,0.22,185.66,35,206.70
77925.24545,40,185.00,0.22,185.53,21,1648.49
83005.11665,6017,27399.60,0.22,23182.65,23,33597.36
85525.70369,13658,61347.60,0.22,49899.46,23,80378.50
86385.28281,218,990.00,0.22,569.76,12,4422.40
94452.9786,335,1548.80,0.22,1631.78,27,3909.57
11568.84245,13,57.20,0.23,27.80,8,81.02
21094.16479,394,1700.00,0.23,1644.87,23,3889.73
24320.22778,5494,24071.60,0.23,19916.98,23,40566.70
28358.53042,14998,65805.00,0.23,63056.19,23,107730.57
28643.91352,5,22.00,0.23,12.54,11,27.94
29811.36582,114,486.00,0.23,256.39,11,4792.97
34471.12391,17,75.00,0.23,31.09,8,184.54
34523.52836,2491,10695.00,0.23,10448.13,23,35574.35
3557.786413,596,2642.40,0.23,1095.61,12,13541.00
40053.72223,47,204.00,0.23,43.53,5,882.94
43619.56221,276,1195.20,0.23,1089.43,23,1669.47
48698.09401,631,2770.00,0.23,3399.81,33,14004.20
52153.34181,14,60.00,0.23,54.88,25,407.98
52870.46568,5,22.00,0.23,10.66,8,86.78
53960.60565,1065,4710.00,0.23,3491.75,16,7160.41
54050.97542,117,501.60,0.23,570.87,28,1756.18
58745.50168,21,92.40,0.23,94.65,28,564.30
60158.7279,71,303.60,0.23,213.23,16,798.36
62578.56097,27,117.60,0.23,36.71,6,167.43
63214.18444,916,3902.40,0.23,4501.92,33,5876.82
65657.65403,1042,4483.60,0.23,2689.67,12,5435.56
69432.77751,12351,53954.40,0.23,24364.69,11,89797.18
7137.726453,1223,5302.00,0.23,4456.82,22,6440.20
10198.98596,4103,17427.00,0.24,11163.59,16,29473.20
12338.91806,2135,8719.20,0.24,7405.29,21,20838.59
14950.11098,17399,73742.40,0.24,64460.29,23,142536.03
17330.33273,11,46.80,0.24,39.38,23,63.44
20237.86945,25,104.40,0.24,64.87,11,1470.33
28.25267997,477,2028.40,0.24,1820.47,23,3574.45
30931.06155,85,356.40,0.24,172.09,11,6070.28
32339.82367,6,25.00,0.24,14.51,8,107.29
40954.52543,166,702.00,0.24,621.47,22,2330.39
41041.53084,712,2915.00,0.24,2649.83,21,5556.83
41610.36305,16,66.60,0.24,17.32,5,140.39
43977.12847,11,45.00,0.24,35.26,16,68.99
47576.20262,26,109.80,0.24,27.44,5,1108.65
51368.02512,31,127.20,0.24,50.04,8,340.88
55477.94926,14,58.80,0.24,17.21,8,108.49
66951.12366,42,176.00,0.24,42.03,5,311.36
85728.69329,25,104.00,0.24,24.83,5,194.46
87697.91586,926,3885.00,0.24,2905.40,16,5203.16
88924.53858,44,180.40,0.24,131.39,16,811.53
90821.14854,1575,6541.60,0.24,1459.81,6,11937.00
99761.34426,179,747.60,0.24,437.60,16,900.96
10401.57273,1,4.00,0.25,1.17,8,35.34
13116.39256,63,248.40,0.25,193.84,16,1580.06
14387.29467,10,40.80,0.25,15.59,8,88.20
14606.23724,263,1051.60,0.25,1184.86,28,3354.98
24479.56596,2,8.00,0.25,1.36,2,41.27
26425.65326,25,99.00,0.25,41.04,8,128.09
26543.223,8,32.40,0.25,15.91,8,233.06
28449.61835,200,801.00,0.25,468.86,16,1007.97
29076.92688,5857,22996.40,0.25,11463.81,11,43245.84
31914.83882,3,12.00,0.25,3.55,5,16.17
33661.78504,131,525.60,0.25,144.72,5,869.30
40486.81469,516,2065.00,0.25,2397.16,28,7800.29
43580.49714,45,180.40,0.25,106.86,11,270.58
43920.82602,8,32.40,0.25,18.47,11,199.16
44413.41443,4,16.00,0.25,12.29,21,19.31
472.5036415,10,40.80,0.25,15.59,8,67.05
53493.12248,222,874.80,0.25,1120.12,35,2565.14
54259.55534,58056,234180.00,0.25,193761.85,23,392523.44
57014.25897,4,16.00,0.25,8.73,11,97.36
59279.79637,506,1993.60,0.25,1030.71,12,3540.38
63513.44727,3351,13283.20,0.25,10680.28,23,27035.06
67863.27004,1128,4476.00,0.25,2368.69,12,6437.65
76164.66068,2,8.00,0.25,4.68,16,54.68
77284.04906,3,12.00,0.25,3.39,5,30.67
8379.849283,52,204.00,0.25,59.07,5,1415.78
84102.45845,10,39.60,0.25,25.05,11,260.57
92457.86557,2,8.00,0.25,4.68,16,104.99
93423.30877,222,873.60,0.25,605.05,16,1792.35
94612.03893,2,8.00,0.25,4.68,16,45.34
95346.79829,564,2280.00,0.25,1212.13,12,3360.48
98390.26878,3,12.00,0.25,8.34,19,18.93
15597.37267,128,484.00,0.26,495.53,22,1691.10
17244.61854,604,2314.40,0.26,1730.82,16,4167.02
18596.89763,3240,12427.20,0.26,16541.15,37,30713.07
19725.13695,292,1116.00,0.26,1293.76,31,7665.79
21705.9442,38,146.40,0.26,78.90,12,2788.60
23498.26719,1123,4360.40,0.26,7213.71,44,32665.19
39095.80432,218,828.80,0.26,1000.58,33,5583.20
40785.58375,25,97.20,0.26,28.90,7,2246.65
42076.92509,3399,13192.80,0.26,7593.60,16,111239.64
42911.57872,116,446.40,0.26,106.69,6,744.58
46724.82287,18,70.00,0.26,29.02,8,99.24
56242.56638,2994,11704.00,0.26,10885.26,26,21078.57
59233.22299,20,75.60,0.26,85.74,31,144.98
62012.31696,842,3189.60,0.26,2209.10,16,5865.22
66633.48938,16,61.20,0.26,42.14,14,2288.61
75443.06423,287,1115.00,0.26,1584.68,37,2651.20
81938.12884,156,602.40,0.26,148.74,5,1457.65
82028.90622,144,554.40,0.26,156.03,5,961.45
89405.80703,35,133.20,0.26,65.39,8,428.24
90981.63034,200,765.00,0.26,415.54,11,4015.47
91923.4293,83,325.00,0.26,329.84,22,2241.75
92222.6744,598,2286.00,0.26,2140.86,24,6258.37
9526.482248,296,1157.20,0.26,803.31,14,2252.41
95354.15986,29,110.00,0.26,71.62,12,209.04
97836.37886,54,205.00,0.26,225.31,26,427.59
98043.10893,27,103.60,0.26,38.02,6,198.67
99092.46226,86,325.00,0.26,354.53,22,1698.59
10448.96367,884,3280.00,0.27,927.85,6,6337.23
27441.05294,69,255.00,0.27,190.70,16,1202.96
27821.00845,163,610.00,0.27,630.12,23,5143.80
44496.49661,260,950.00,0.27,803.09,16,4254.37
46546.61843,6,22.00,0.27,14.91,12,59.18
49404.04188,5868,21485.20,0.27,26329.81,30,130444.90
51627.95997,1828,6792.80,0.27,3876.35,13,13133.86
54641.93821,6,22.00,0.27,16.30,15,864.60
