sku,on_hand_stock_value,percentage_of_total_value,cumulative_percentage_of_value
66606.75227,110267.88,0.2397,63.16
12826.95597,109974.90,0.2390,63.39
79974.57181,108400.39,0.2356,63.63
28358.53042,107730.57,0.2342,63.86
26976.03739,107616.23,0.2339,64.10
17406.29569,107509.62,0.2337,64.33
69336.6739,105195.27,0.2286,64.56
87232.7768,104126.56,0.2263,64.79
21887.98141,104030.78,0.2261,65.01
87489.68716,102665.93,0.2231,65.24
29892.12735,102512.35,0.2228,65.46
4642.238692,101797.50,0.2213,65.68
56308.83258,101589.20,0.2208,65.90
67332.30068,99239.78,0.2157,66.12
84896.52428,98832.88,0.2148,66.33
14290.54489,97913.40,0.2128,66.54
30629.55147,97438.91,0.2118,66.76
37513.08385,96099.69,0.2089,66.96
80947.58702,95814.94,0.2083,67.17
76681.24189,94988.80,0.2065,67.38
72632.12152,92697.53,0.2015,67.58
33662.68414,92389.58,0.2008,67.78
11938.60819,91059.93,0.1979,67.98
69877.27583,90601.77,0.1969,68.18
69432.77751,89797.18,0.1952,68.37
53498.3392,89424.60,0.1944,68.57
40586.17221,89260.97,0.1940,68.76
43887.9304,89048.40,0.1935,68.95
91641.45053,87992.86,0.1913,69.14
79112.17361,86818.09,0.1887,69.33
32397.04157,84209.72,0.1830,69.52
3242.202969,83210.50,0.1809,69.70
69878.71086,81314.61,0.1767,69.87
85525.70369,80378.50,0.1747,70.05
35265.16222,79471.23,0.1727,70.22
71346.84879,79411.68,0.1726,70.39
67794.64548,77743.50,0.1690,70.56
64934.32412,77217.59,0.1678,70.73
63798.28568,75606.22,0.1643,70.90
41409.2889,75196.85,0.1634,71.06
49940.1708,74957.12,0.1629,71.22
23986.33804,74175.86,0.1612,71.38
83385.07533,74072.66,0.1610,71.54
84183.75319,73997.39,0.1608,71.70
16739.76417,72221.02,0.1570,71.86
96830.56156,71274.46,0.1549,72.02
28063.98004,70972.29,0.1543,72.17
3527.394088,70923.29,0.1542,72.33
11902.9736,70479.53,0.1532,72.48
7725.185229,70220.50,0.1526,72.63
54186.82985,68835.04,0.1496,72.78
70466.39833,68393.33,0.1487,72.93
39743.43884,66039.34,0.1435,73.07
85993.0033,65624.83,0.1426,73.22
95171.92723,65348.64,0.1420,73.36
4569.760124,64463.69,0.1401,73.50
39145.01238,64000.00,0.1391,73.64
54977.50853,63691.01,0.1384,73.78
56062.73383,62939.76,0.1368,73.91
65233.03504,62186.84,0.1352,74.05
99691.56817,62109.29,0.1350,74.18
23640.38365,62000.00,0.1348,74.32
55870.75261,61222.90,0.1331,74.45
83164.98886,60934.16,0.1324,74.58
94862.77623,59745.28,0.1299,74.71
64571.78884,59140.89,0.1285,74.84
18011.47757,57288.34,0.1245,74.97
8431.172843,56798.45,0.1235,75.09
19439.60814,56004.29,0.1217,75.21
80784.06957,55592.57,0.1208,75.33
53537.78345,54510.11,0.1185,75.45
90793.93472,53500.03,0.1163,75.57
4632.399445,53445.63,0.1162,75.68
2333.247696,52711.62,0.1146,75.80
88284.20088,51709.19,0.1124,75.91
20959.07106,50724.98,0.1103,76.02
88828.83679,49626.48,0.1079,76.13
26941.50665,49543.27,0.1077,76.23
91222.74032,49157.52,0.1068,76.34
80337.50935,49098.75,0.1067,76.45
16292.38619,48762.77,0.1060,76.55
27931.32597,48630.17,0.1057,76.66
68655.67308,48217.92,0.1048,76.77
71829.76937,48070.34,0.1045,76.87
25337.73744,47978.81,0.1043,76.97
82122.44457,47936.93,0.1042,77.08
36898.13304,47771.29,0.1038,77.18
38229.3787,47663.80,0.1036,77.29
69248.1887,47340.24,0.1029,77.39
22916.56386,47239.85,0.1027,77.49
79780.34904,46953.20,0.1021,77.59
71185.22702,46570.63,0.1012,77.69
79739.54418,46394.46,0.1008,77.80
81868.63666,46339.15,0.1007,77.90
47951.68833,46210.46,0.1004,78.00
33428.60448,46190.36,0.1004,78.10
3596.258665,46040.87,0.1001,78.20
37450.54569,45805.98,0.0996,78.30
80969.10545,45584.21,0.0991,78.40
74396.47976,45283.88,0.0984,78.49
14894.11729,45130.44,0.0981,78.59
70136.47095,44978.70,0.0978,78.69
22592.41647,44489.65,0.0967,78.79
44002.60198,43546.82,0.0947,78.88
84762.58538,43361.78,0.0942,78.98
29076.92688,43245.84,0.0940,79.07
88893.99833,43223.23,0.0939,79.16
73327.4254,43192.00,0.0939,79.26
33116.19225,42787.57,0.0930,79.35
12710.54877,42771.83,0.0930,79.44
5589.677063,42507.83,0.0924,79.54
6029.396022,42327.45,0.0920,79.63
67855.63481,41942.39,0.0912,79.72
5742.090902,41129.99,0.0894,79.81
27439.58354,41059.48,0.0892,79.90
35915.04203,40706.03,0.0885,79.99
24320.22778,40566.70,0.0882,80.07
44607.35256,40432.19,0.0879,80.16
72433.88595,40204.02,0.0874,80.25
86564.39253,39727.91,0.0863,80.34
49628.93981,39604.56,0.0861,80.42
44090.41583,39594.31,0.0861,80.51
70191.94028,39154.35,0.0851,80.59
21779.73596,38901.05,0.0846,80.68
64275.43798,38129.49,0.0829,80.76
53642.5735,37631.75,0.0818,80.84
64482.4853,37613.94,0.0818,80.92
93898.13441,37261.02,0.0810,81.00
16747.70499,37143.53,0.0807,81.09
44410.82251,37132.24,0.0807,81.17
55531.14298,37030.66,0.0805,81.25
45694.2321,36667.24,0.0797,81.33
23548.24418,36627.48,0.0796,81.41
88457.06741,35930.28,0.0781,81.48
68368.04535,35839.18,0.0779,81.56
93757.32748,35739.57,0.0777,81.64
23278.46785,35675.64,0.0775,81.72
34523.52836,35574.35,0.0773,81.79
1627.077928,35511.61,0.0772,81.87
3168.332644,35422.33,0.0770,81.95
20540.37645,35416.78,0.0770,82.03
73291.86838,35298.86,0.0767,82.10
2797.320736,34813.57,0.0757,82.18
747.6157018,34245.97,0.0744,82.25
62208.77298,34210.96,0.0744,82.33
95063.5017,34018.64,0.0739,82.40
88599.52275,33956.07,0.0738,82.47
15371.66377,33895.45,0.0737,82.55
32538.50344,33735.15,0.0733,82.62
83005.11665,33597.36,0.0730,82.69
67689.42493,32969.82,0.0717,82.77
46846.80048,32912.74,0.0715,82.84
87190.2062,32884.62,0.0715,82.91
75182.03375,32835.17,0.0714,82.98
16751.60479,32762.45,0.0712,83.05
23498.26719,32665.19,0.0710,83.12
839.7189575,32500.00,0.0706,83.19
16032.9716,32398.81,0.0704,83.26
1365.039104,31962.01,0.0695,83.33
72476.04079,31282.81,0.0680,83.40
54362.08273,30968.30,0.0673,83.47
94414.55339,30768.52,0.0669,83.54
36463.56278,30759.16,0.0669,83.60
18596.89763,30713.07,0.0668,83.67
75569.60735,30549.66,0.0664,83.74
98629.22568,30471.41,0.0662,83.80
95637.65634,30433.06,0.0661,83.87
38055.38453,30232.62,0.0657,83.93
46978.24183,30222.19,0.0657,84.00
16792.61395,30177.37,0.0656,84.06
50957.97218,29934.04,0.0651,84.13
18728.79269,29845.88,0.0649,84.19
46383.9519,29677.82,0.0645,84.26
18112.22332,29621.55,0.0644,84.32
90403.3881,29609.53,0.0644,84.39
96256.89429,29591.74,0.0643,84.45
96657.5001,29513.22,0.0641,84.52
10198.98596,29473.20,0.0641,84.58
2465.773782,29441.28,0.0640,84.64
52376.6073,29380.12,0.0639,84.71
92952.96023,29324.81,0.0637,84.77
27776.26972,29044.39,0.0631,84.84
67486.73281,29003.97,0.0630,84.90
94223.26804,29002.55,0.0630,84.96
19193.13063,28943.02,0.0629,85.02
34924.93689,28623.44,0.0622,85.09
23852.51996,28600.69,0.0622,85.15
32535.36267,28362.67,0.0616,85.21
4118.905937,27979.26,0.0608,85.27
12710.49911,27403.30,0.0596,85.33
80109.94767,27367.10,0.0595,85.39
3243.390147,27187.20,0.0591,85.45
63513.44727,27035.06,0.0588,85.51
64371.93369,26702.43,0.0580,85.57
90687.4663,26664.98,0.0580,85.62
56443.5394,26586.93,0.0578,85.68
63575.69139,26026.61,0.0566,85.74
26341.18401,25751.26,0.0560,85.79
55020.73056,25696.87,0.0559,85.85
29973.66394,25609.62,0.0557,85.91
92765.32588,25582.49,0.0556,85.96
77635.18409,25577.93,0.0556,86.02
37919.04046,25486.74,0.0554,86.07
88657.84393,25451.37,0.0553,86.13
75565.46093,25362.14,0.0551,86.18
64747.20442,25017.47,0.0544,86.24
43048.89302,24597.02,0.0535,86.29
21539.09202,24582.04,0.0534,86.34
81820.50532,24579.92,0.0534,86.40
84159.11686,24451.50,0.0531,86.45
24000.84476,24412.64,0.0531,86.50
62977.65315,24267.20,0.0527,86.56
6239.586338,24054.26,0.0523,86.61
79307.86942,24000.00,0.0522,86.66
30570.48898,23774.03,0.0517,86.71
93594.20805,23537.85,0.0512,86.76
16141.79206,23457.73,0.0510,86.81
85753.58412,23248.07,0.0505,86.87
98453.01234,23182.42,0.0504,86.92
34274.56174,22858.95,0.0497,86.97
48074.25459,22849.01,0.0497,87.02
33414.02194,22841.06,0.0496,87.06
29259.21007,22174.06,0.0482,87.11
37485.47982,22000.00,0.0478,87.16
58137.15511,21980.24,0.0478,87.21
79482.93109,21842.35,0.0475,87.26
11660.51327,21819.60,0.0474,87.30
74649.14349,21676.10,0.0471,87.35
99408.71991,21605.25,0.0470,87.40
46788.20641,21457.44,0.0466,87.44
81228.37722,21371.86,0.0465,87.49
18449.16851,21351.31,0.0464,87.54
43200.38411,21325.91,0.0464,87.58
37616.39721,21276.17,0.0462,87.63
33552.6275,21243.11,0.0462,87.68
56242.56638,21078.57,0.0458,87.72
30904.28072,21004.87,0.0457,87.77
5602.445847,20868.33,0.0454,87.81
12338.91806,20838.59,0.0453,87.86
73298.64989,20299.62,0.0441,87.90
89401.79275,20132.88,0.0438,87.95
36031.03594,19967.49,0.0434,87.99
99155.5808,19966.35,0.0434,88.03
42177.39672,19900.82,0.0433,88.08
61623.30086,19871.12,0.0432,88.12
33510.5229,19773.04,0.0430,88.16
72167.89241,19655.70,0.0427,88.20
63320.62117,19419.42,0.0422,88.25
39066.01155,19381.01,0.0421,88.29
51560.04023,19340.11,0.0420,88.33
62420.5743,19111.11,0.0415,88.37
38880.52514,19081.23,0.0415,88.41
13779.47586,19022.94,0.0413,88.46
71032.68656,18976.11,0.0412,88.50
54476.39539,18744.55,0.0407,88.54
46403.87373,18597.08,0.0404,88.58
3526.790467,18585.29,0.0404,88.62
78367.93562,18542.53,0.0403,88.66
16052.87843,18539.60,0.0403,88.70
85804.73815,18500.13,0.0402,88.74
83201.4349,18484.80,0.0402,88.78
80283.87575,18475.15,0.0402,88.82
19661.95471,18236.39,0.0396,88.86
28155.9807,18227.80,0.0396,88.90
44305.27234,18206.74,0.0396,88.94
65708.3253,18142.64,0.0394,88.98
84276.1629,18067.51,0.0393,89.02
27153.84354,17863.83,0.0388,89.06
93847.02035,17852.65,0.0388,89.09
4472.452456,17811.23,0.0387,89.13
83637.23189,17809.12,0.0387,89.17
8994.754483,17775.30,0.0386,89.21
54211.1528,17667.12,0.0384,89.25
96799.14512,17641.00,0.0383,89.29
49417.42548,17631.08,0.0383,89.33
5404.511258,17564.54,0.0382,89.36
88394.37669,17545.67,0.0381,89.40
82315.40602,17484.47,0.0380,89.44
86600.20453,17410.16,0.0378,89.48
43454.37015,17354.31,0.0377,89.52
63421.99319,17339.72,0.0377,89.55
95126.42502,17309.02,0.0376,89.59
79164.04235,17301.24,0.0376,89.63
26412.83289,17291.95,0.0376,89.67
44086.45057,17259.91,0.0375,89.70
60355.84501,17198.04,0.0374,89.74
81307.76995,17123.32,0.0372,89.78
33062.92628,16996.97,0.0369,89.82
52567.94807,16943.68,0.0368,89.85
64160.20509,16928.51,0.0368,89.89
38589.6678,16916.85,0.0368,89.93
49863.589,16879.37,0.0367,89.96
30446.83697,16734.66,0.0364,90.00
64596.80984,16631.92,0.0361,90.03
3317.463521,16595.76,0.0361,90.07
89670.35653,16473.83,0.0358,90.11
88086.29948,16455.94,0.0358,90.14
97544.60351,16310.41,0.0355,90.18
77020.25661,16240.00,0.0353,90.21
65377.15408,16197.46,0.0352,90.25
79438.78059,16193.06,0.0352,90.28
25048.87383,16090.94,0.0350,90.32
80430.37141,16035.79,0.0349,90.35
49467.87115,15955.13,0.0347,90.39
29387.11002,15905.04,0.0346,90.42
37057.50135,15885.80,0.0345,90.46
98586.72215,15805.41,0.0344,90.49
70689.35104,15733.68,0.0342,90.53
93732.1487,15722.79,0.0342,90.56
70415.21402,15639.36,0.0340,90.59
93718.02454,15531.62,0.0338,90.63
38413.66891,15445.83,0.0336,90.66
15456.07562,15429.49,0.0335,90.69
67330.82858,15291.03,0.0332,90.73
91096.30959,15171.38,0.0330,90.76
78653.37195,15047.64,0.0327,90.79
39582.74355,14969.42,0.0325,90.83
7536.769747,14888.62,0.0324,90.86
8198.375067,14758.43,0.0321,90.89
21040.67907,14684.31,0.0319,90.92
66529.1874,14666.00,0.0319,90.95
93769.78771,14643.51,0.0318,90.99
54421.73052,14619.69,0.0318,91.02
70410.77463,14597.49,0.0317,91.05
56336.00866,14472.65,0.0315,91.08
32669.2864,14267.85,0.0310,91.11
87706.61221,14235.73,0.0309,91.14
42508.60461,14234.42,0.0309,91.17
46611.83305,14068.15,0.0306,91.20
62360.0844,14047.64,0.0305,91.24
77443.78208,14037.47,0.0305,91.27
48698.09401,14004.20,0.0304,91.30
92696.22767,13972.58,0.0304,91.33
10741.3015,13948.91,0.0303,91.36
4640.63071,13945.27,0.0303,91.39
6088.393127,13723.50,0.0298,91.42
81501.09753,13690.56,0.0298,91.45
36309.32121,13649.47,0.0297,91.48
21639.40791,13621.66,0.0296,91.51
3557.786413,13541.00,0.0294,91.54
42672.92788,13503.69,0.0294,91.56
89338.77263,13450.98,0.0292,91.59
78229.36296,13448.13,0.0292,91.62
25890.6082,13447.73,0.0292,91.65
13833.06592,13396.43,0.0291,91.68
66245.92726,13286.32,0.0289,91.71
92370.94968,13240.62,0.0288,91.74
52704.84913,13218.86,0.0287,91.77
51627.95997,13133.86,0.0285,91.80
13857.98308,12972.81,0.0282,91.82
79318.69045,12940.10,0.0281,91.85
97658.69905,12864.45,0.0280,91.88
88372.4601,12859.21,0.0279,91.91
1901.801636,12817.27,0.0279,91.94
10644.09722,12803.25,0.0278,91.96
19153.67476,12800.00,0.0278,91.99
75128.79596,12787.98,0.0278,92.02
7484.962409,12702.01,0.0276,92.05
48946.51898,12698.83,0.0276,92.08
280.7880631,12543.43,0.0273,92.10
49937.31222,12530.52,0.0272,92.13
27126.64462,12519.91,0.0272,92.16
74989.5713,12512.09,0.0272,92.18
68000.85251,12428.60,0.0270,92.21
92208.60078,12426.78,0.0270,92.24
43049.36974,12418.64,0.0270,92.27
5080.470179,12318.50,0.0268,92.29
28494.96096,12240.00,0.0266,92.32
49745.15509,12137.41,0.0264,92.34
71647.04951,12117.58,0.0263,92.37
33720.91669,12074.95,0.0262,92.40
1093.566669,12014.15,0.0261,92.42
41079.60145,12013.09,0.0261,92.45
44835.25062,11968.33,0.0260,92.48
90821.14854,11937.00,0.0259,92.50
18136.1648,11892.49,0.0258,92.53
40406.70397,11817.38,0.0257,92.55
8396.036677,11798.67,0.0256,92.58
62442.85336,11772.22,0.0256,92.60
14203.87101,11750.65,0.0255,92.63
4179.736314,11703.55,0.0254,92.66
43587.35979,11700.00,0.0254,92.68
95344.06909,11473.95,0.0249,92.71
20968.31645,11443.45,0.0249,92.73
49056.04127,11182.84,0.0243,92.76
52150.24179,11092.69,0.0241,92.78
35496.07527,11076.78,0.0241,92.80
79836.62189,11000.00,0.0239,92.83
41203.29168,10999.25,0.0239,92.85
81817.28921,10889.35,0.0237,92.87
93472.75764,10868.85,0.0236,92.90
55712.61767,10857.63,0.0236,92.92
68144.5966,10832.09,0.0235,92.95
12808.25974,10817.71,0.0235,92.97
41023.89821,10804.48,0.0235,92.99
6038.437072,10733.38,0.0233,93.02
86111.20422,10704.69,0.0233,93.04
12802.8922,10586.24,0.0230,93.06
94485.72991,10549.07,0.0229,93.08
7028.020895,10502.74,0.0228,93.11
95224.86017,10484.73,0.0228,93.13
93176.32465,10480.79,0.0228,93.15
94947.71683,10464.31,0.0227,93.18
52738.31427,10422.70,0.0227,93.20
94028.81348,10398.22,0.0226,93.22
72091.99853,10385.72,0.0226,93.24
23113.94007,10344.05,0.0225,93.27
44208.9097,10297.90,0.0224,93.29
18053.50511,10286.20,0.0224,93.31
13335.72458,10279.54,0.0223,93.33
92167.07479,10258.85,0.0223,93.36
50118.45693,10253.16,0.0223,93.38
27385.06481,10244.13,0.0223,93.40
5461.554491,10193.40,0.0222,93.42
18966.89772,10185.89,0.0221,93.44
32745.01858,10171.32,0.0221,93.47
24878.72365,10144.65,0.0220,93.49
7766.697457,10135.79,0.0220,93.51
66491.66544,9989.46,0.0217,93.53
82197.08445,9914.22,0.0215,93.55
49987.42053,9908.94,0.0215,93.58
50290.72633,9841.46,0.0214,93.60
36726.63114,9829.82,0.0214,93.62
33180.04635,9781.06,0.0213,93.64
28074.48401,9764.26,0.0212,93.66
15017.43446,9744.20,0.0212,93.68
28305.80833,9740.26,0.0212,93.70
9076.599167,9668.30,0.0210,93.72
8380.815604,9495.47,0.0206,93.74
12538.86834,9426.59,0.0205,93.77
79319.56159,9424.37,0.0205,93.79
16202.39659,9383.15,0.0204,93.81
43315.24026,9231.39,0.0201,93.83
49338.57371,9230.26,0.0201,93.85
15592.2983,9207.46,0.0200,93.87
12779.51295,9184.20,0.0200,93.89
18353.49057,9177.15,0.0199,93.91
59540.86287,9171.46,0.0199,93.93
47304.986,9136.41,0.0199,93.95
96750.54531,9095.54,0.0198,93.97
13539.16641,9081.31,0.0197,93.99
35027.40025,9046.96,0.0197,94.01
1905.634856,9020.57,0.0196,94.02
53079.25885,9000.15,0.0196,94.04
82649.02655,8983.80,0.0195,94.06
50753.1553,8967.40,0.0195,94.08
49472.71625,8939.96,0.0194,94.10
67973.73257,8936.99,0.0194,94.12
97364.80366,8934.49,0.0194,94.14
32623.09674,8835.13,0.0192,94.16
40405.16397,8711.38,0.0189,94.18
85865.43543,8682.89,0.0189,94.20
21988.10598,8678.59,0.0189,94.22
21179.05749,8676.26,0.0189,94.24
74724.52867,8632.69,0.0188,94.26
49002.29976,8544.03,0.0186,94.27
72649.08856,8457.71,0.0184,94.29
52793.46202,8416.30,0.0183,94.31
70588.49851,8414.68,0.0183,94.33
27446.34606,8410.62,0.0183,94.35
89321.96051,8404.75,0.0183,94.37
58168.27747,8342.49,0.0181,94.38
91153.84839,8270.40,0.0180,94.40
81765.22543,8262.20,0.0180,94.42
13776.59003,8179.11,0.0178,94.44
98292.19693,8127.21,0.0177,94.45
89016.80093,8122.20,0.0177,94.47
3872.530019,8116.02,0.0176,94.49
58184.20734,8106.25,0.0176,94.51
50321.69367,8102.84,0.0176,94.53
10728.18783,8099.92,0.0176,94.54
50420.98956,8086.61,0.0176,94.56
8263.863572,8084.36,0.0176,94.58
63570.17856,8074.51,0.0176,94.60
62577.32088,8034.53,0.0175,94.61
95060.09803,8031.64,0.0175,94.63
72292.61001,7988.93,0.0174,94.65
90041.57909,7959.06,0.0173,94.67
11299.55072,7954.19,0.0173,94.68
60104.7615,7937.86,0.0173,94.70
7908.806989,7923.67,0.0172,94.72
35452.87953,7918.65,0.0172,94.73
56625.98059,7893.83,0.0172,94.75
91203.71952,7889.53,0.0171,94.77
79937.84794,7879.77,0.0171,94.79
89546.99097,7874.21,0.0171,94.80
75778.01045,7862.35,0.0171,94.82
93600.17132,7850.77,0.0171,94.84
40486.81469,7800.29,0.0170,94.85
14965.64597,7765.53,0.0169,94.87
68729.12159,7718.09,0.0168,94.89
63165.45343,7711.87,0.0168,94.90
57445.50178,7705.51,0.0167,94.92
30805.18253,7702.45,0.0167,94.94
19725.13695,7665.79,0.0167,94.95
50454.54597,7663.47,0.0167,94.97
93217.39909,7635.42,0.0166,94.99
89951.51899,7625.26,0.0166,95.00
37557.19109,7605.95,0.0165,95.02
62443.94466,7567.56,0.0164,95.04
88245.07882,7557.11,0.0164,95.05
87976.94761,7513.60,0.0163,95.07
71502.14742,7473.51,0.0162,95.09
49843.96956,7454.38,0.0162,95.10
12583.73606,7371.87,0.0160,95.12
57354.62085,7359.34,0.0160,95.13
57739.66091,7344.88,0.0160,95.15
89693.70052,7340.59,0.0160,95.17
75543.6224,7335.32,0.0159,95.18
9994.266704,7311.37,0.0159,95.20
2018.018446,7308.26,0.0159,95.21
86550.04954,7299.54,0.0159,95.23
32887.30684,7288.89,0.0158,95.25
85238.34056,7258.24,0.0158,95.26
45494.15842,7240.03,0.0157,95.28
53960.60565,7160.41,0.0156,95.29
60161.15634,7147.80,0.0155,95.31
60478.8553,7079.00,0.0154,95.32
73714.04524,7069.29,0.0154,95.34
58114.46097,7036.66,0.0153,95.35
915.1744482,7028.54,0.0153,95.37
50164.97265,6979.84,0.0152,95.38
69017.25451,6955.54,0.0151,95.40
62585.84051,6950.81,0.0151,95.42
34331.40254,6890.62,0.0150,95.43
68.43051657,6875.75,0.0149,95.45
48685.61793,6846.32,0.0149,95.46
74085.86797,6844.06,0.0149,95.47
96233.84203,6841.04,0.0149,95.49
76540.99113,6833.06,0.0149,95.50
17766.48626,6789.25,0.0148,95.52
64314.37807,6752.90,0.0147,95.53
98834.21824,6686.33,0.0145,95.55
3757.355247,6655.34,0.0145,95.56
58828.96152,6648.90,0.0145,95.58
24687.64874,6644.58,0.0144,95.59
61579.17586,6626.04,0.0144,95.61
87895.67422,6623.80,0.0144,95.62
42720.38638,6620.52,0.0144,95.64
3404.017843,6596.54,0.0143,95.65
3551.005172,6585.50,0.0143,95.66
6795.122228,6561.95,0.0143,95.68
28089.68138,6515.18,0.0142,95.69
14177.70251,6508.78,0.0141,95.71
27362.13935,6495.48,0.0141,95.72
66650.70302,6476.51,0.0141,95.73
39398.79289,6465.81,0.0141,95.75
19188.97653,6463.23,0.0140,95.76
7137.726453,6440.20,0.0140,95.78
67863.27004,6437.65,0.0140,95.79
76912.21514,6429.56,0.0140,95.80
75376.46112,6421.26,0.0140,95.82
67684.2708,6415.65,0.0139,95.83
40165.75809,6408.88,0.0139,95.85
10448.96367,6337.23,0.0138,95.86
81553.46788,6335.20,0.0138,95.87
93614.81142,6327.93,0.0138,95.89
90839.04435,6315.03,0.0137,95.90
92222.6744,6258.37,0.0136,95.91
37014.40791,6238.78,0.0136,95.93
12691.7175,6217.16,0.0135,95.94
32876.00356,6208.04,0.0135,95.96
1304.362017,6197.29,0.0135,95.97
12171.83778,6180.00,0.0134,95.98
62587.99301,6168.30,0.0134,96.00
39287.16927,6167.06,0.0134,96.01
97673.70719,6155.32,0.0134,96.02
13693.42423,6088.88,0.0132,96.04
2264.265334,6074.29,0.0132,96.05
30931.06155,6070.28,0.0132,96.06
32871.99161,6061.57,0.0132,96.08
49890.04676,6045.63,0.0131,96.09
56543.00904,6027.22,0.0131,96.10
12676.44662,6020.36,0.0131,96.11
76211.07499,6010.28,0.0131,96.13
38529.69786,5976.45,0.0130,96.14
60353.48769,5944.44,0.0129,96.15
60625.65298,5933.65,0.0129,96.17
58870.79322,5920.63,0.0129,96.18
13701.89066,5908.66,0.0128,96.19
34397.37524,5900.56,0.0128,96.21
63214.18444,5876.82,0.0128,96.22
62012.31696,5865.22,0.0127,96.23
96539.69681,5855.36,0.0127,96.24
14171.73212,5837.31,0.0127,96.26
89394.55076,5826.15,0.0127,96.27
39413.5795,5794.33,0.0126,96.28
8351.712288,5791.70,0.0126,96.29
9309.664142,5777.78,0.0126,96.31
42518.77956,5762.79,0.0125,96.32
80233.63754,5720.45,0.0124,96.33
59688.16531,5711.95,0.0124,96.34
21236.77097,5673.72,0.0123,96.36
2853.429693,5668.90,0.0123,96.37
97523.24943,5661.37,0.0123,96.38
53917.25094,5656.18,0.0123,96.39
94721.9698,5597.92,0.0122,96.41
97672.2991,5591.79,0.0122,96.42
39095.80432,5583.20,0.0121,96.43
41041.53084,5556.83,0.0121,96.44
38534.162,5541.11,0.0120,96.45
92841.77308,5521.90,0.0120,96.47
38742.02771,5510.76,0.0120,96.48
35927.35771,5501.51,0.0120,96.49
51528.00533,5467.02,0.0119,96.50
