sku,inventory_units_on_hand,projected_average_monthly_demand,inventory_shortfall_units,standard_price,estimated_shortfall_inventory_value,total_shortfall_inventory_value,percentage_of_total_shortfall_exposure
30629.55147,6314,15011.20,8697.20,15.00,130458.00,36857155.00,0.35
24320.22778,5494,24071.60,18577.60,7.00,130043.20,36857155.00,0.35
89009.13269,1635,2165.00,530.00,244.00,129320.00,36857155.00,0.35
83005.11665,6017,27399.60,21382.60,6.00,128295.60,36857155.00,0.35
50290.72633,306,4305.00,3999.00,32.00,127968.00,36857155.00,0.35
98292.19693,98,1620.00,1522.00,83.00,126326.00,36857155.00,0.34
37118.06545,1279,2241.60,962.60,129.00,124175.40,36857155.00,0.34
18112.22332,4093,21285.00,17192.00,7.00,120344.00,36857155.00,0.33
91970.25303,42,2116.40,2074.40,58.00,120315.20,36857155.00,0.33
29076.92688,5857,22996.40,17139.40,7.00,119975.80,36857155.00,0.33
81228.37722,604,3968.80,3364.80,35.00,117768.00,36857155.00,0.32
22511.99721,23621,40160.00,16539.00,7.00,115773.00,36857155.00,0.31
17406.29569,14511,31045.00,16534.00,7.00,115738.00,36857155.00,0.31
34523.52836,2491,10695.00,8204.00,14.00,114856.00,36857155.00,0.31
87631.39657,32358,48745.00,16387.00,7.00,114709.00,36857155.00,0.31
15371.66377,6404,29206.40,22802.40,5.00,114012.00,36857155.00,0.31
4569.760124,1595,4438.40,2843.40,40.00,113736.00,36857155.00,0.31
25048.87383,2338,18535.00,16197.00,7.00,113379.00,36857155.00,0.31
82550.86699,16281,30128.00,13847.00,8.00,110776.00,36857155.00,0.30
39885.56665,43,3115.20,3072.20,35.00,107527.00,36857155.00,0.29
35915.04203,1496,5253.00,3757.00,27.00,101439.00,36857155.00,0.28
64747.20442,41,205.00,164.00,613.00,100532.00,36857155.00,0.27
75376.51236,1873,2646.00,773.00,130.00,100490.00,36857155.00,0.27
63798.28568,5759,13337.60,7578.60,13.00,98521.80,36857155.00,0.27
23498.26719,1123,4360.40,3237.40,29.00,93884.60,36857155.00,0.25
10198.98596,4103,17427.00,13324.00,7.00,93268.00,36857155.00,0.25
97672.2991,812,14071.20,13259.20,7.00,92814.40,36857155.00,0.25
41409.2889,10091,23339.20,13248.20,7.00,92737.40,36857155.00,0.25
19439.60814,952,2486.40,1534.40,59.00,90529.60,36857155.00,0.25
64596.80984,2623,17665.20,15042.20,6.00,90253.20,36857155.00,0.24
60478.8553,975,13752.00,12777.00,7.00,89439.00,36857155.00,0.24
18011.47757,4537,11312.40,6775.40,13.00,88080.20,36857155.00,0.24
80233.63754,524,8395.20,7871.20,11.00,86583.20,36857155.00,0.23
18596.89763,3240,12427.20,9187.20,9.00,82684.80,36857155.00,0.22
70466.39833,803,1749.60,946.60,85.00,80461.00,36857155.00,0.22
23278.46785,3169,10476.40,7307.40,11.00,80381.40,36857155.00,0.22
57066.9144,725,14111.20,13386.20,6.00,80317.20,36857155.00,0.22
6029.396022,5150,15120.00,9970.00,8.00,79760.00,36857155.00,0.22
63513.44727,3351,13283.20,9932.20,8.00,79457.60,36857155.00,0.22
93757.32748,2515,8073.60,5558.60,14.00,77820.40,36857155.00,0.21
3757.355247,533,6995.00,6462.00,12.00,77544.00,36857155.00,0.21
4632.399445,9462,22386.00,12924.00,6.00,77544.00,36857155.00,0.21
96256.89429,2307,8246.40,5939.40,13.00,77212.20,36857155.00,0.21
87489.68716,12156,21652.80,9496.80,8.00,75974.40,36857155.00,0.21
87190.2062,730,2331.00,1601.00,45.00,72045.00,36857155.00,0.20
46978.24183,351,1180.80,829.80,86.00,71362.80,36857155.00,0.19
83385.07533,7092,14170.00,7078.00,10.00,70780.00,36857155.00,0.19
71185.22702,2213,5570.40,3357.40,21.00,70505.40,36857155.00,0.19
62360.0844,703,4144.80,3441.80,20.00,68836.00,36857155.00,0.19
69248.1887,2398,5728.80,3330.80,20.00,66616.00,36857155.00,0.18
72433.88595,4272,11659.20,7387.20,9.00,66484.80,36857155.00,0.18
50727.27312,12,326.40,314.40,210.00,66024.00,36857155.00,0.18
12338.91806,2135,8719.20,6584.20,10.00,65842.00,36857155.00,0.18
85781.62452,1264,1778.40,514.40,127.00,65328.80,36857155.00,0.18
98629.22568,3853,11926.40,8073.40,8.00,64587.20,36857155.00,0.18
74569.65391,207,305.00,98.00,635.00,62230.00,36857155.00,0.17
1627.077928,4521,12164.40,7643.40,8.00,61147.20,36857155.00,0.17
915.1744482,431,4251.60,3820.60,16.00,61129.60,36857155.00,0.17
56242.56638,2994,11704.00,8710.00,7.00,60970.00,36857155.00,0.17
37057.50135,49,234.00,185.00,321.00,59385.00,36857155.00,0.16
1365.039104,2694,7538.40,4844.40,12.00,58132.80,36857155.00,0.16
79974.57181,21221,32315.00,11094.00,5.00,55470.00,36857155.00,0.15
21539.09202,804,2572.80,1768.80,31.00,54832.80,36857155.00,0.15
56336.00866,2210,9965.00,7755.00,7.00,54285.00,36857155.00,0.15
93594.20805,1339,4348.40,3009.40,18.00,54169.20,36857155.00,0.15
14203.87101,446,2525.60,2079.60,26.00,54069.60,36857155.00,0.15
49940.1708,2069,3510.00,1441.00,36.00,51876.00,36857155.00,0.14
95637.65634,2923,8078.40,5155.40,10.00,51554.00,36857155.00,0.14
73327.4254,3343,7295.20,3952.20,13.00,51378.60,36857155.00,0.14
32462.07942,108,2385.00,2277.00,22.00,50094.00,36857155.00,0.14
70551.67392,295,4791.00,4496.00,11.00,49456.00,36857155.00,0.13
87232.7768,8482,12597.60,4115.60,12.00,49387.20,36857155.00,0.13
93898.13441,4993,11972.40,6979.40,7.00,48855.80,36857155.00,0.13
72167.89241,981,3385.20,2404.20,20.00,48084.00,36857155.00,0.13
94862.77623,8387,15178.80,6791.80,7.00,47542.60,36857155.00,0.13
5955.445524,309,3099.60,2790.60,17.00,47440.20,36857155.00,0.13
70191.94028,655,1443.20,788.20,60.00,47292.00,36857155.00,0.13
3557.786413,596,2642.40,2046.40,23.00,47067.20,36857155.00,0.13
48698.09401,631,2770.00,2139.00,22.00,47058.00,36857155.00,0.13
41997.10601,551,8370.00,7819.00,6.00,46914.00,36857155.00,0.13
42177.39672,824,2750.40,1926.40,24.00,46233.60,36857155.00,0.13
30570.48898,880,2592.00,1712.00,27.00,46224.00,36857155.00,0.13
63575.69139,3199,8835.00,5636.00,8.00,45088.00,36857155.00,0.12
55020.73056,2334,6422.40,4088.40,11.00,44972.40,36857155.00,0.12
95060.09803,481,3085.20,2604.20,17.00,44271.40,36857155.00,0.12
98453.01234,3203,9480.00,6277.00,7.00,43939.00,36857155.00,0.12
90793.93472,1706,3105.60,1399.60,31.00,43387.60,36857155.00,0.12
38229.3787,6131,11512.80,5381.80,8.00,43054.40,36857155.00,0.12
93176.32465,563,2730.00,2167.00,19.00,41173.00,36857155.00,0.11
31580.12914,234,2915.00,2681.00,15.00,40215.00,36857155.00,0.11
90821.14854,1575,6541.60,4966.60,8.00,39732.80,36857155.00,0.11
7536.769747,565,2081.20,1516.20,26.00,39421.20,36857155.00,0.11
56443.5394,3546,9126.40,5580.40,7.00,39062.80,36857155.00,0.11
64862.27061,55,684.00,629.00,62.00,38998.00,36857155.00,0.11
56666.55127,98,1335.00,1237.00,31.00,38347.00,36857155.00,0.10
42518.77956,668,4895.00,4227.00,9.00,38043.00,36857155.00,0.10
89546.99097,259,1526.40,1267.40,30.00,38022.00,36857155.00,0.10
63104.85832,61,1086.80,1025.80,37.00,37954.60,36857155.00,0.10
16141.79206,3268,8558.00,5290.00,7.00,37030.00,36857155.00,0.10
52376.6073,641,1443.20,802.20,46.00,36901.20,36857155.00,0.10
28063.98004,9969,15207.00,5238.00,7.00,36666.00,36857155.00,0.10
23548.24418,2141,4256.00,2115.00,17.00,35955.00,36857155.00,0.10
57821.70364,7654,9766.80,2112.80,17.00,35917.60,36857155.00,0.10
79482.93109,3916,9847.60,5931.60,6.00,35589.60,36857155.00,0.10
63421.99319,1381,4105.00,2724.00,13.00,35412.00,36857155.00,0.10
84896.52428,12108,16531.20,4423.20,8.00,35385.60,36857155.00,0.10
65708.3253,1028,2992.00,1964.00,18.00,35352.00,36857155.00,0.10
51627.95997,1828,6792.80,4964.80,7.00,34753.60,36857155.00,0.09
86600.20453,1368,4038.00,2670.00,13.00,34710.00,36857155.00,0.09
46383.9519,206,445.00,239.00,144.00,34416.00,36857155.00,0.09
93732.1487,967,3115.20,2148.20,16.00,34371.20,36857155.00,0.09
80969.10545,536,934.40,398.40,85.00,33864.00,36857155.00,0.09
56095.15083,8957,11057.20,2100.20,16.00,33603.20,36857155.00,0.09
82525.33971,321,4467.60,4146.60,8.00,33172.80,36857155.00,0.09
56062.73383,10,15.00,5.00,6600.00,33000.00,36857155.00,0.09
30805.18253,1203,6610.00,5407.00,6.00,32442.00,36857155.00,0.09
58137.15511,948,2343.00,1395.00,23.00,32085.00,36857155.00,0.09
72476.04079,2384,4783.20,2399.20,13.00,31189.60,36857155.00,0.08
36027.65259,93,1922.80,1829.80,17.00,31106.60,36857155.00,0.08
95126.42502,27,75.00,48.00,641.00,30768.00,36857155.00,0.08
68753.34457,15547,18591.00,3044.00,10.00,30440.00,36857155.00,0.08
65377.15408,846,2444.80,1598.80,19.00,30377.20,36857155.00,0.08
61513.44926,93,1355.00,1262.00,24.00,30288.00,36857155.00,0.08
86564.39253,5323,9598.40,4275.40,7.00,29927.80,36857155.00,0.08
3596.258665,1207,1985.00,778.00,38.00,29564.00,36857155.00,0.08
72201.46064,633,4840.80,4207.80,7.00,29454.60,36857155.00,0.08
27931.32597,346,554.40,208.40,141.00,29384.40,36857155.00,0.08
19058.81913,112,2365.00,2253.00,13.00,29289.00,36857155.00,0.08
36898.13304,69,110.40,41.40,696.00,28814.40,36857155.00,0.08
96799.14512,627,1654.40,1027.40,28.00,28767.20,36857155.00,0.08
7484.962409,208,679.20,471.20,61.00,28743.20,36857155.00,0.08
87706.61221,1982,6086.40,4104.40,7.00,28730.80,36857155.00,0.08
35927.35771,794,4866.40,4072.40,7.00,28506.80,36857155.00,0.08
5762.614267,180,1666.00,1486.00,19.00,28234.00,36857155.00,0.08
3526.790467,290,730.80,440.80,64.00,28211.20,36857155.00,0.08
75128.79596,2286,6966.40,4680.40,6.00,28082.40,36857155.00,0.08
77635.18409,2829,5947.20,3118.20,9.00,28063.80,36857155.00,0.08
65537.65773,563,5094.00,4531.00,6.00,27186.00,36857155.00,0.07
88579.59732,603,4416.00,3813.00,7.00,26691.00,36857155.00,0.07
38413.66891,1246,3436.40,2190.40,12.00,26284.80,36857155.00,0.07
55243.20891,706,870.00,164.00,157.00,25748.00,36857155.00,0.07
75569.60735,365,669.00,304.00,84.00,25536.00,36857155.00,0.07
53960.60565,1065,4710.00,3645.00,7.00,25515.00,36857155.00,0.07
96657.5001,4817,9012.00,4195.00,6.00,25170.00,36857155.00,0.07
23113.94007,482,1680.00,1198.00,21.00,25158.00,36857155.00,0.07
36031.03594,495,1122.00,627.00,40.00,25080.00,36857155.00,0.07
73291.86838,1114,1890.00,776.00,32.00,24832.00,36857155.00,0.07
7168.284088,158,1279.60,1121.60,22.00,24675.20,36857155.00,0.07
31119.19079,579,3647.60,3068.60,8.00,24548.80,36857155.00,0.07
84276.1629,249,583.20,334.20,73.00,24396.60,36857155.00,0.07
82315.40602,1903,4588.80,2685.80,9.00,24172.20,36857155.00,0.07
80283.87575,1978,4658.40,2680.40,9.00,24123.60,36857155.00,0.07
90403.3881,4122,7559.20,3437.20,7.00,24060.40,36857155.00,0.07
68005.84706,721,4075.20,3354.20,7.00,23479.40,36857155.00,0.06
71032.68656,177,396.00,219.00,107.00,23433.00,36857155.00,0.06
8431.172843,7619,10950.00,3331.00,7.00,23317.00,36857155.00,0.06
40486.81469,516,2065.00,1549.00,15.00,23235.00,36857155.00,0.06
3168.332644,4688,7580.00,2892.00,8.00,23136.00,36857155.00,0.06
81501.09753,146,390.00,244.00,94.00,22936.00,36857155.00,0.06
79960.39306,352,2899.60,2547.60,9.00,22928.40,36857155.00,0.06
87576.31826,117,2365.00,2248.00,10.00,22480.00,36857155.00,0.06
92696.22767,1254,3295.80,2041.80,11.00,22459.80,36857155.00,0.06
88394.37669,128,291.60,163.60,137.00,22413.20,36857155.00,0.06
19193.13063,2114,3711.00,1597.00,14.00,22358.00,36857155.00,0.06
2037.852636,24,409.20,385.20,58.00,22341.60,36857155.00,0.06
61494.19702,46,1424.00,1378.00,16.00,22048.00,36857155.00,0.06
12512.44766,533,3273.60,2740.60,8.00,21924.80,36857155.00,0.06
32535.36267,4087,7174.80,3087.80,7.00,21614.60,36857155.00,0.06
25890.6082,2231,5806.80,3575.80,6.00,21454.80,36857155.00,0.06
79164.04235,51,114.80,63.80,336.00,21436.80,36857155.00,0.06
19725.13695,292,1116.00,824.00,26.00,21424.00,36857155.00,0.06
82248.32662,4,23.20,19.20,1104.00,21196.80,36857155.00,0.06
88657.84393,3485,6512.00,3027.00,7.00,21189.00,36857155.00,0.06
7908.806989,439,1614.00,1175.00,18.00,21150.00,36857155.00,0.06
84472.29913,55,524.40,469.40,45.00,21123.00,36857155.00,0.06
66245.92726,344,883.20,539.20,39.00,21028.80,36857155.00,0.06
28071.43638,66,844.80,778.80,27.00,21027.60,36857155.00,0.06
35565.33108,840,4993.20,4153.20,5.00,20766.00,36857155.00,0.06
58344.90294,4042,4710.00,668.00,31.00,20708.00,36857155.00,0.06
73887.80966,602,3540.00,2938.00,7.00,20566.00,36857155.00,0.06
7137.726453,1223,5302.00,4079.00,5.00,20395.00,36857155.00,0.06
5404.511258,285,609.00,324.00,62.00,20088.00,36857155.00,0.05
67863.27004,1128,4476.00,3348.00,6.00,20088.00,36857155.00,0.05
30931.06155,85,356.40,271.40,71.00,19269.40,36857155.00,0.05
18728.79269,2238,3718.00,1480.00,13.00,19240.00,36857155.00,0.05
2333.247696,7466,10164.00,2698.00,7.00,18886.00,36857155.00,0.05
63320.62117,649,1275.00,626.00,30.00,18780.00,36857155.00,0.05
66926.05819,294,1520.00,1226.00,15.00,18390.00,36857155.00,0.05
93718.02454,1747,3769.20,2022.20,9.00,18199.80,36857155.00,0.05
76540.99113,231,831.60,600.60,30.00,18018.00,36857155.00,0.05
63214.18444,916,3902.40,2986.40,6.00,17918.40,36857155.00,0.05
61763.28744,26013,29594.40,3581.40,5.00,17907.00,36857155.00,0.05
43822.25836,27,1645.20,1618.20,11.00,17800.20,36857155.00,0.05
33116.19225,3268,4636.80,1368.80,13.00,17794.40,36857155.00,0.05
87697.91586,926,3885.00,2959.00,6.00,17754.00,36857155.00,0.05
41041.53084,712,2915.00,2203.00,8.00,17624.00,36857155.00,0.05
68144.5966,1076,2826.00,1750.00,10.00,17500.00,36857155.00,0.05
13539.16641,105,306.00,201.00,87.00,17487.00,36857155.00,0.05
43160.03555,191,3097.60,2906.60,6.00,17439.60,36857155.00,0.05
65657.65403,1042,4483.60,3441.60,5.00,17208.00,36857155.00,0.05
54211.1528,693,1353.60,660.60,26.00,17175.60,36857155.00,0.05
77443.78208,1360,3072.00,1712.00,10.00,17120.00,36857155.00,0.05
747.6157018,6576,9965.00,3389.00,5.00,16945.00,36857155.00,0.05
92222.6744,598,2286.00,1688.00,10.00,16880.00,36857155.00,0.05
38.49898826,0,45.00,45.00,373.00,16785.00,36857155.00,0.05
10448.96367,884,3280.00,2396.00,7.00,16772.00,36857155.00,0.05
49937.31222,1630,3717.60,2087.60,8.00,16700.80,36857155.00,0.05
20968.31645,705,1740.00,1035.00,16.00,16560.00,36857155.00,0.04
62012.31696,842,3189.60,2347.60,7.00,16433.20,36857155.00,0.04
36309.32121,1561,3379.20,1818.20,9.00,16363.80,36857155.00,0.04
60386.38837,25,195.20,170.20,96.00,16339.20,36857155.00,0.04
9089.83595,5106,5750.40,644.40,25.00,16110.00,36857155.00,0.04
2394.595154,379,1840.00,1461.00,11.00,16071.00,36857155.00,0.04
56625.98059,495,1488.00,993.00,16.00,15888.00,36857155.00,0.04
39095.80432,218,828.80,610.80,26.00,15880.80,36857155.00,0.04
63410.09885,29,183.00,154.00,103.00,15862.00,36857155.00,0.04
29387.11002,1742,3489.20,1747.20,9.00,15724.80,36857155.00,0.04
21392.91957,196,1936.80,1740.80,9.00,15667.20,36857155.00,0.04
29811.36582,114,486.00,372.00,42.00,15624.00,36857155.00,0.04
76211.07499,371,1337.60,966.60,16.00,15465.60,36857155.00,0.04
86385.28281,218,990.00,772.00,20.00,15440.00,36857155.00,0.04
3551.005172,1012,3204.00,2192.00,7.00,15344.00,36857155.00,0.04
60161.15634,867,2764.80,1897.80,8.00,15182.40,36857155.00,0.04
46611.83305,1729,3609.60,1880.60,8.00,15044.80,36857155.00,0.04
40406.70397,296,669.60,373.60,40.00,14944.00,36857155.00,0.04
15253.35954,173,818.40,645.40,23.00,14844.20,36857155.00,0.04
280.7880631,1107,2451.00,1344.00,11.00,14784.00,36857155.00,0.04
94452.9786,335,1548.80,1213.80,12.00,14565.60,36857155.00,0.04
81043.20569,41,148.80,107.80,134.00,14445.20,36857155.00,0.04
52738.31427,54,127.60,73.60,195.00,14352.00,36857155.00,0.04
69222.79091,890,3280.80,2390.80,6.00,14344.80,36857155.00,0.04
27821.00845,163,610.00,447.00,32.00,14304.00,36857155.00,0.04
40235.04519,88,396.00,308.00,45.00,13860.00,36857155.00,0.04
7725.185229,8466,10195.20,1729.20,8.00,13833.60,36857155.00,0.04
97523.24943,694,2420.00,1726.00,8.00,13808.00,36857155.00,0.04
19252.2782,21,147.60,126.60,109.00,13799.40,36857155.00,0.04
2465.773782,1864,2718.00,854.00,16.00,13664.00,36857155.00,0.04
19661.95471,810,1390.40,580.40,23.00,13349.20,36857155.00,0.04
7029.358676,234,2134.40,1900.40,7.00,13302.80,36857155.00,0.04
34274.56174,2191,3520.00,1329.00,10.00,13290.00,36857155.00,0.04
60355.84501,1337,2345.00,1008.00,13.00,13104.00,36857155.00,0.04
21094.16479,394,1700.00,1306.00,10.00,13060.00,36857155.00,0.04
38880.52514,2932,4792.80,1860.80,7.00,13025.60,36857155.00,0.04
98215.01082,33,416.00,383.00,34.00,13022.00,36857155.00,0.04
30446.83697,2663,4783.20,2120.20,6.00,12721.20,36857155.00,0.03
8120.820974,345,1746.80,1401.80,9.00,12616.20,36857155.00,0.03
72632.12152,8687,9831.60,1144.60,11.00,12590.60,36857155.00,0.03
93034.15064,32,198.00,166.00,75.00,12450.00,36857155.00,0.03
66529.1874,1697,3070.80,1373.80,9.00,12364.20,36857155.00,0.03
38791.91313,500,2555.20,2055.20,6.00,12331.20,36857155.00,0.03
16165.94128,276,1817.20,1541.20,8.00,12329.60,36857155.00,0.03
39287.16927,595,1822.80,1227.80,10.00,12278.00,36857155.00,0.03
91096.30959,180,324.80,144.80,84.00,12163.20,36857155.00,0.03
78653.37195,2193,3916.80,1723.80,7.00,12066.60,36857155.00,0.03
12912.21779,117,1619.20,1502.20,8.00,12017.60,36857155.00,0.03
17244.61854,604,2314.40,1710.40,7.00,11972.80,36857155.00,0.03
43598.46964,17,145.00,128.00,93.00,11904.00,36857155.00,0.03
14177.70251,69,194.40,125.40,94.00,11787.60,36857155.00,0.03
21179.05749,275,650.00,375.00,31.00,11625.00,36857155.00,0.03
61716.77149,4633,5032.00,399.00,29.00,11571.00,36857155.00,0.03
39413.5795,955,2846.80,1891.80,6.00,11350.80,36857155.00,0.03
58114.46097,956,2572.80,1616.80,7.00,11317.60,36857155.00,0.03
90981.63034,200,765.00,565.00,20.00,11300.00,36857155.00,0.03
43049.36974,775,1476.00,701.00,16.00,11216.00,36857155.00,0.03
96539.69681,426,1215.00,789.00,14.00,11046.00,36857155.00,0.03
44496.49661,260,950.00,690.00,16.00,11040.00,36857155.00,0.03
79780.34904,8272,10107.00,1835.00,6.00,11010.00,36857155.00,0.03
92167.07479,538,1116.00,578.00,19.00,10982.00,36857155.00,0.03
72448.97528,426,1419.00,993.00,11.00,10923.00,36857155.00,0.03
32623.09674,47,104.40,57.40,190.00,10906.00,36857155.00,0.03
28.25267997,477,2028.40,1551.40,7.00,10859.80,36857155.00,0.03
93540.85184,46993,48348.80,1355.80,8.00,10846.40,36857155.00,0.03
24878.72365,155,319.20,164.20,66.00,10837.20,36857155.00,0.03
65825.06061,15,736.40,721.40,15.00,10821.00,36857155.00,0.03
88372.4601,1108,2008.80,900.80,12.00,10809.60,36857155.00,0.03
49467.87115,2633,4424.40,1791.40,6.00,10748.40,36857155.00,0.03
32116.59585,79,710.00,631.00,17.00,10727.00,36857155.00,0.03
68368.04535,104,135.00,31.00,346.00,10726.00,36857155.00,0.03
12151.20378,11,125.00,114.00,93.00,10602.00,36857155.00,0.03
97364.80366,879,1936.80,1057.80,10.00,10578.00,36857155.00,0.03
90520.7083,135,1296.00,1161.00,9.00,10449.00,36857155.00,0.03
59279.79637,506,1993.60,1487.60,7.00,10413.20,36857155.00,0.03
37557.19109,370,862.40,492.40,21.00,10340.40,36857155.00,0.03
95346.79829,564,2280.00,1716.00,6.00,10296.00,36857155.00,0.03
54058.36796,28116,30171.00,2055.00,5.00,10275.00,36857155.00,0.03
14606.23724,263,1051.60,788.60,13.00,10251.80,36857155.00,0.03
10741.3015,1350,2368.00,1018.00,10.00,10180.00,36857155.00,0.03
65391.11999,436,2112.00,1676.00,6.00,10056.00,36857155.00,0.03
89175.46102,18,175.20,157.20,63.00,9903.60,36857155.00,0.03
89693.70052,37,87.00,50.00,197.00,9850.00,36857155.00,0.03
16747.70499,2113,2658.00,545.00,18.00,9810.00,36857155.00,0.03
39637.39026,24,321.20,297.20,33.00,9807.60,36857155.00,0.03
63570.17856,731,1619.20,888.20,11.00,9770.20,36857155.00,0.03
3430.48939,841,2794.00,1953.00,5.00,9765.00,36857155.00,0.03
14965.64597,325,730.00,405.00,24.00,9720.00,36857155.00,0.03
5409.530584,135,669.60,534.60,18.00,9622.80,36857155.00,0.03
79937.84794,424,930.00,506.00,19.00,9614.00,36857155.00,0.03
13701.89066,1136,3051.40,1915.40,5.00,9577.00,36857155.00,0.03
73985.47922,524,1887.60,1363.60,7.00,9545.20,36857155.00,0.03
20540.37645,4723,6064.80,1341.80,7.00,9392.60,36857155.00,0.03
25506.41763,67,610.00,543.00,17.00,9231.00,36857155.00,0.03
63005.95015,105,756.80,651.80,14.00,9125.20,36857155.00,0.02
53336.45984,179,501.60,322.60,28.00,9032.80,36857155.00,0.02
29275.11571,114,1015.00,901.00,10.00,9010.00,36857155.00,0.02
85865.43543,97,198.00,101.00,89.00,8989.00,36857155.00,0.02
93769.78771,528,849.00,321.00,28.00,8988.00,36857155.00,0.02
52640.43787,96,1372.80,1276.80,7.00,8937.60,36857155.00,0.02
55583.32874,81,676.80,595.80,15.00,8937.00,36857155.00,0.02
46788.20641,2972,4234.80,1262.80,7.00,8839.60,36857155.00,0.02
69877.27583,2762,3027.20,265.20,33.00,8751.60,36857155.00,0.02
96362.12156,172,1041.60,869.60,10.00,8696.00,36857155.00,0.02
71502.14742,123,265.00,142.00,61.00,8662.00,36857155.00,0.02
3316.979588,18,65.00,47.00,184.00,8648.00,36857155.00,0.02
50337.76968,10,730.40,720.40,12.00,8644.80,36857155.00,0.02
82197.08445,1018,1870.00,852.00,10.00,8520.00,36857155.00,0.02
81765.22543,1180,2379.60,1199.60,7.00,8397.20,36857155.00,0.02
50164.97265,26,57.20,31.20,268.00,8361.60,36857155.00,0.02
32745.01858,544,984.00,440.00,19.00,8360.00,36857155.00,0.02
50753.1553,771,1460.80,689.80,12.00,8277.60,36857155.00,0.02
