SKU ,Std. Price ($),On-Hand Stock ($),Inventory in units on-hand,"APU
(units)",Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,June,July,August,September,Demand for the whole year,APU Trend,S-OTD,Demand variability (COV),Lead Time (days)
19362, 7 ,113.1558915, 15 ,18,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.4,-0.60,0.77,1.86,11
28644, 5 ,27.94457801, 5 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.77,1,11
40067, 6 ,63.59936631, 10 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,0.77,0.74,16
56532, 5 ,791.7953541, 158 ,34,85,85,85,85,85,85,85,85,85,85,85,85,1020.0,1.50,0.77,1.28,68
73183, 13 ,186.8220499, 15 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,0.77,0.77,43
39547, 6 ,94.66562498, 16 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,0.77,0.78,42
74027, 7 ,220.1486611, 30 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,0.77,0.83,43
33789, 5 ,154.3864633, 30 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,0.77,1.32,50
22520, 5 ,56.713131, 11 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,0.77,1.09,22
82709, 21 ,5134.859618, 244 ,122,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,3220.8,1.20,1,0.82,60
95156, 6 ,770.6981823, 122 ,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.20,0.82,1.8,40
46404, 11 ,18597.08237," 1,664 ",122,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,878.4,-0.40,1,1.27,261
97104, 17 ,1624.717354, 98 ,18,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,172.8,-0.20,1,1.02,160
48736, 26 ,3971.584413, 152 ,42,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,-0.40,1,1.53,60
31968, 7 ,798.8538743, 123 ,106,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,1144.8,-0.10,1,1,22
71072, 20 ,1607.734131, 79 ,34,51,51,51,51,51,51,51,51,51,51,51,51,612.0,0.50,1,1.8,40
81909, 54 ,1026.105031, 19 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,1,0.84,70
39841, 8 ,1644.416422, 200 ,26,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,436.8,0.40,0.88,0.79,265
9503, 36 ,974.1115293, 27 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,1.29,45
50413, 7 ,499.9373617, 68 ,26,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,561.6,0.80,1,1.23,50
813, 14 ,785.7862201, 58 ,26,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,280.8,-0.10,1,1.15,40
83489, 7 ,1410.973475, 202 ,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.40,1,2.41,60
57476, 11 ,330.1850114, 31 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,0.75,0.94,29
58600, 5 ,355.4757546, 69 ,98,245,245,245,245,245,245,245,245,245,245,245,245,2940.0,1.50,1,1.47,11
88361, 20 ,1490, 73 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,0.86,16
79308, 29 ,24000, 827 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.31,16
71001, 21 ,846.4596052, 40 ,42,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,604.8,0.20,1,1.85,11
89252, 32 ,968.3187497, 30 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1.26,51
93470, 10 ,825.2723729, 86 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,1,0.95,100
45870, 10 ,465.5687157, 49 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,1,1.07,60
37485, 53 ,22000, 419 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,0.8,1.13,258
84560, 185 ,3408.61337, 18 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.09,44
67890, 6 ,371.4495441, 60 ,10,25,25,25,25,25,25,25,25,25,25,25,25,300.0,1.50,1,1.4,100
66982, 10 ,4500, 461 ,10,4,4,4,4,4,4,4,4,4,4,4,4,48.0,-0.60,1,1.03,95
92111, 6 ,154.4651905, 27 ,10,11,11,11,11,11,11,11,11,11,11,11,11,132.0,0.10,0.9,0.99,60
13890, 13 ,183.9425744, 14 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,0.82,1.15,30
45576, 16 ,3870, 238 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.82,0.98,60
56656, 92 ,2744.283222, 30 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,1,1.28,60
41680, 14 ,460.6811231, 34 ,10,14,14,14,14,14,14,14,14,14,14,14,14,168.0,0.40,0.88,0.8,100
89812, 59 ,3557.81144, 60 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.77,200
36174, 58 ,823.7470861, 14 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,1,1.07,29
39363, 30 ,1531.681807, 51 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,1,1.33,120
3404, 190 ,6596.542522, 35 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,1,1.29,70
73861, 11 ,159.4800021, 14 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1.72,20
87768, 6 ,132.5771709, 23 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,0.75,0.95,29
29259, 177 ,22174.06103, 126 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1.98,165
56063," 6,600 ",62939.76354, 10 ,10,15,15,15,15,15,15,15,15,15,15,15,15,180.0,0.50,0.82,0.94,26
5508, 25 ,321.5326989, 13 ,10,3,3,3,3,3,3,3,3,3,3,3,3,36.0,-0.70,0.88,1.06,30
51647, 21 ,888.5499861, 43 ,10,4,4,4,4,4,4,4,4,4,4,4,4,48.0,-0.60,1,1.14,80
56853, 6 ,207.3959115, 33 ,10,6,6,6,6,6,6,6,6,6,6,6,6,72.0,-0.40,0.75,1.23,60
43587, 16 ,11700, 731 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,0.82,12
18388, 12 ,906.9987288, 75 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,0.8,3.46,26
69918, 72 ,555.132038, 8 ,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.40,1,0.92,12
84011, 71 ,1138.566596, 16 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,1,35
58028, 79 ,3817.095492, 48 ,10,18,18,18,18,18,18,18,18,18,18,18,18,216.0,0.80,1,0.96,130
76279, 8 ,279.8285832, 36 ,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.80,1,0.74,60
840, 5 ,32500," 6,013 ",26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.40,1,0.81,60
43344, 232 ,3394.175365, 15 ,10,8,8,8,8,8,8,8,8,8,8,8,8,96.0,-0.20,0.82,1.07,35
19942, 145 ,3152.765401, 22 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,0.78,40
12128, 26 ,1040.641667, 39 ,42,63,63,63,63,63,63,63,63,63,63,63,63,756.0,0.50,1,0.71,40
83981, 56 ,1042.649526, 18 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,1.87,12
6240, 137 ,24054.2583, 176 ,26,65,65,65,65,65,65,65,65,65,65,65,65,780.0,1.50,1,0.92,190
50165, 268 ,6979.835903, 26 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,1,1,26
98053, 139 ,2812.089201, 20 ,10,22,22,22,22,22,22,22,22,22,22,22,22,264.0,1.20,1,0.87,60
15456, 513 ,15429.49049, 30 ,10,9,9,9,9,9,9,9,9,9,9,9,9,108.0,-0.10,1,0.87,90
23247, 13 ,90.9344229, 7 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,0.87,11
36801, 11 ,290.4116474, 27 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,1,0.88,40
32628, 20 ,1177.570735, 60 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,0.8,1.57,45
18511, 7 ,259.7676209, 36 ,34,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,489.6,0.20,0.8,0.94,25
1465, 9 ,275.4754567, 30 ,10,12,12,12,12,12,12,12,12,12,12,12,12,144.0,0.20,1,1,70
64333, 27 ,789.9992539, 29 ,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.40,1,1.32,26
43951, 77 ,1049.768316, 14 ,34,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,244.8,-0.40,1,0.72,12
82840, 7 ,1480.072836, 205 ,42,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,806.4,0.60,1,0.93,145
16258, 62 ,3465.650975, 56 ,18,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.4,-0.60,1,1.46,55
68001, 24 ,12428.60052, 525 ,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.40,1,1.08,290
92564, 139 ,2428.349439, 17 ,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.20,0.83,0.85,20
5080, 144 ,12318.49995, 86 ,26,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,499.2,0.60,1,1.14,75
34964, 57 ,4326.794187, 76 ,34,51,51,51,51,51,51,51,51,51,51,51,51,612.0,0.50,0.87,0.8,70
56870, 23 ,1741.597822, 76 ,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.20,0.82,0.77,85
91427, 6 ,1353.368746, 211 ,50,90,90,90,90,90,90,90,90,90,90,90,90,1080.0,0.80,0.82,1.38,60
77806, 7 ,1372.048767, 203 ,50,40,40,40,40,40,40,40,40,40,40,40,40,480.0,-0.20,0.88,0.81,133
68677, 73 ,1596.896951, 22 ,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.20,1,0.85,45
24822, 28 ,1424.382438, 51 ,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.20,1,0.76,60
77724, 36 ,1109.008223, 31 ,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.20,1,0.92,40
17676, 6 ,267.3449882, 41 ,18,45,45,45,45,45,45,45,45,45,45,45,45,540.0,1.50,0.82,1.02,50
9038, 5 ,1042.304365, 198 ,58,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,208.8,-0.70,0.72,1.02,60
28488, 13 ,1104.604341, 86 ,26,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,249.6,-0.20,1,1.14,60
89665, 41 ,1379.741388, 34 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,1,1.3,45
83959, 29 ,1181.523193, 40 ,26,39,39,39,39,39,39,39,39,39,39,39,39,468.0,0.50,0.85,1,47
3987, 81 ,4063.748271, 50 ,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.60,0.71,0.77,46
10364, 22 ,1117.374887, 50 ,26,65,65,65,65,65,65,65,65,65,65,65,65,780.0,1.50,0.75,0.94,60
35265, 362 ,79471.22958, 220 ,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.60,1,0.96,175
38590, 130 ,16916.84834, 130 ,18,27,27,27,27,27,27,27,27,27,27,27,27,324.0,0.50,1,1.56,120
49890, 26 ,6045.629313, 230 ,66,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,633.6,-0.20,0.82,0.85,100
49717, 22 ,4519.367993, 208 ,66,99,99,99,99,99,99,99,99,99,99,99,99,1188.0,0.50,1,1.32,60
91537, 6 ,1186.64262, 205 ,26,39,39,39,39,39,39,39,39,39,39,39,39,468.0,0.50,1,0.94,155
66633, 139 ,2288.613414, 16 ,34,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,734.4,0.80,0.8,0.87,14
80260, 17 ,3900, 235 ,26,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,93.6,-0.70,0.8,0.73,28
58471, 53 ,1195.015878, 23 ,42,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,453.6,-0.10,1,1.06,16
89322, 201 ,8404.745065, 42 ,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.20,1,1.14,28
36243, 8 ,1031.920173, 124 ,82,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,295.2,-0.70,1,1.59,28
