sku ,standard_price,on_hand_stock_value,inventory_units_on_hand,average_monthly_usage,october_demand,november_demand,december_demand,january_demand,february_demand,march_demand,april_demand,may_demand,june_demand,july_demand,august_demand,september_demand,annual_demand,average_monthly_usage_trend,supplier_on_time_delivery,demand_variability_cov,lead_time_days
89385.16644,20,260.684347,13,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,0.77,1.54,21
94094.52434,22,337.4743,16,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,0.77,2.48,16
53822.56425,7,90.01427367,13,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.77,1.91,16
46060.91678,10,482.5815349,49,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,0.77,1.02,62
41213.87088,13,1022.23822,79,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.77,1.33,176
77704.06654,19,603.6462312,31,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.77,2.56,31
21835.37788,46,1276.578824,28,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.77,1.04,81
52607.2665,6,135.6377652,22,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.77,2.27,23
70964.12009,12,833.3433844,69,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,0.77,1.28,61
57014.25897,24,97.3573643,4,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,0.77,0.89,11
42854.3262,12,381.0198468,32,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,0.77,0.92,81
55647.4245,22,587.770337,27,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,0.77,1.06,62
72009.69859,23,273.761217,12,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,0.75,1.41,21
12950.88246,7,239.144553,34,10,16,16,16,16,16,16,16,16,16,16,16,16,192,0.6,0.77,1.99,41
12391.62135,13,212.741188,16,18,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,345.6,0.6,0.77,0.99,21
28494.96096,23,12240,521,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,0.77,1.47,21
13316.33142,26,105.8831558,4,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,0.77,0.91,11
9715.729205,21,74.40288946,4,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,0.75,0.75,11
92172.87215,15,1095.497066,74,42,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,453.6,-0.1,0.77,0.78,44
48429.39229,6,3800,639,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.6,0.77,0.86,82
67144.68233,19,194.0267374,10,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.77,0.78,31
22940.71126,26,979.4099311,38,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,0.77,1.28,62
91258.55653,15,862.5582173,58,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,0.77,1.06,62
84273.51019,8,215.6972365,26,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,1,1.68,21
75297.9515,11,742.3609324,68,18,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,172.8,-0.2,1,1.95,41
33972.8887,50,1146.012963,23,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1,71
66345.50015,8,214.6201346,26,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,1,0.8,41
44320.83531,6,186.4623035,32,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,1,0.94,41
5368.448754,5,34.37362323,7,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,1,0.87,16
9503.436666,6,162.8038144,27,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,1,1.01,23
10035.77473,7,780,107,34,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,122.4,-0.7,0.75,0.73,61
30898.51141,95,419.5832239,4,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,1.04,11
64784.44354,8,350,43,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,0.81,0.8,11
40510.0628,5,81.04074028,16,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,0.82,41
66763.51187,5,152.7010385,28,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,1,0.8,41
79836.62189,6,11000,1706,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.85,1.6,176
42003.69568,5,1250,234,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,1,0.86,61
32369.28162,10,137.4650204,14,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.65,21
54570.82291,8,2450,301,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,0.81,1.04,66
87416.0724,8,680,89,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.95,11
35550.82626,11,480.4743792,42,18,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,172.8,-0.2,1,1.95,30
58772.38551,13,69.19655427,5,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.2,11
7436.807314,6,242.3158495,38,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.88,1.45,61
42197.0308,5,115.54666,21,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,0.75,1.72,29
65905.88381,5,57.04994075,10,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,0.77,1.5,16
36205.11128,30,1016.430173,34,58,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,417.6,-0.4,0.77,1.12,11
92629.19002,10,1266.949871,129,268,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,107.2,1286.4,-0.6,0.77,0.82,16
14400.80689,8,458.5571843,57,138,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,303.6,3643.2,1.2,0.77,0.82,11
20418.92732,41,1492.006204,36,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,0.77,2.11,30
69313.07822,9,4627.271478,509,82,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,590.4,-0.4,0.77,1.61,93
98329.55094,14,1237.264484,86,42,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,1108.8,1.2,0.77,0.97,61
76231.03342,20,452.3846667,23,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,0.77,2,11
81537.96901,8,404.2961922,50,130,182,182,182,182,182,182,182,182,182,182,182,182,2184,0.4,0.77,0.75,11
848.0809453,6,4235.90166,730,470,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,12408,1.2,0.77,1.3,27
5869.593443,26,239.5719093,9,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,0.77,1.17,11
57416.49581,10,1261.586566,128,340,204,204,204,204,204,204,204,204,204,204,204,204,2448,-0.4,0.77,0.96,11
8392.581071,6,224.5114345,38,42,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,1108.8,1.2,0.77,1.28,16
84102.45845,26,260.5684671,10,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,0.77,1.28,11
53779.00665,9,268.7303816,31,26,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,374.4,0.2,0.77,1.28,22
82832.52498,5,278.5672067,53,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,0.77,1.15,101
98378.27555,7,122.911652,17,42,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,1108.8,1.2,0.77,0.79,11
58079.34347,19,299.6878056,16,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.77,0.72,51
20515.10297,5,61.11626852,11,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,0.77,0.8,16
21977.15266,5,52.09509605,10,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,0.77,1.04,11
23640.38365,7,62000,9223,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.77,0.97,21
61599.13697,6,45.39892881,7,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,0.77,0.77,11
19362.40888,7,113.1558915,15,18,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.4,-0.6,0.77,1.86,11
28643.91352,5,27.94457801,5,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.77,1,11
40066.64533,6,63.59936631,10,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,0.77,0.74,16
56531.78891,5,791.7953541,158,34,85,85,85,85,85,85,85,85,85,85,85,85,1020,1.5,0.77,1.28,68
73183.07634,13,186.8220499,15,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.77,0.77,43
39547.29566,6,94.66562498,16,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,0.77,0.78,42
74026.59966,7,220.1486611,30,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,0.77,0.83,43
33788.86995,5,154.3864633,30,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,0.77,1.32,50
22520.01689,5,56.713131,11,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,0.77,1.09,22
82709.24091,21,5134.859618,244,122,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,3220.8,1.2,1,0.82,60
95156.36474,6,770.6981823,122,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,0.82,1.8,40
46403.87373,11,18597.08237,1664,122,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,878.4,-0.4,1,1.27,261
97104.28322,17,1624.717354,98,18,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,172.8,-0.2,1,1.02,160
48736.01396,26,3971.584413,152,42,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,-0.4,1,1.53,60
31967.57789,7,798.8538743,123,106,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,95.4,1144.8,-0.1,1,1,22
71072.24732,20,1607.734131,79,34,51,51,51,51,51,51,51,51,51,51,51,51,612,0.5,1,1.8,40
81909.30134,54,1026.105031,19,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,1,0.84,70
39840.7382,8,1644.416422,200,26,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,436.8,0.4,0.88,0.79,265
9502.657564,36,974.1115293,27,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,1.29,45
50412.93308,7,499.9373617,68,26,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,561.6,0.8,1,1.23,50
813.4034714,14,785.7862201,58,26,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,280.8,-0.1,1,1.15,40
83489.02749,7,1410.973475,202,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.4,1,2.41,60
57475.61525,11,330.1850114,31,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,0.75,0.94,29
58600.29598,5,355.4757546,69,98,245,245,245,245,245,245,245,245,245,245,245,245,2940,1.5,1,1.47,11
88361.49157,20,1490,73,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,0.86,16
79307.86942,29,24000,827,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.31,16
71000.67199,21,846.4596052,40,42,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,604.8,0.2,1,1.85,11
89251.54452,32,968.3187497,30,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.26,51
93469.55851,10,825.2723729,86,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,0.95,100
45870.41515,10,465.5687157,49,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,1.07,60
37485.47982,53,22000,419,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,0.8,1.13,258
84559.80606,185,3408.61337,18,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.09,44
67889.90501,6,371.4495441,60,10,25,25,25,25,25,25,25,25,25,25,25,25,300,1.5,1,1.4,100
66981.88731,10,4500,461,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,1,1.03,95
92110.94562,6,154.4651905,27,10,11,11,11,11,11,11,11,11,11,11,11,11,132,0.1,0.9,0.99,60
13890.49711,13,183.9425744,14,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,0.82,1.15,30
45576.33015,16,3870,238,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.82,0.98,60
56656.19487,92,2744.283222,30,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,1,1.28,60
41680.07185,14,460.6811231,34,10,14,14,14,14,14,14,14,14,14,14,14,14,168,0.4,0.88,0.8,100
89811.80717,59,3557.81144,60,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,0.77,200
36174.29807,58,823.7470861,14,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,1,1.07,29
39363.46175,30,1531.681807,51,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,1.33,120
3404.017843,190,6596.542522,35,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,1,1.29,70
73860.71471,11,159.4800021,14,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.72,20
87767.50716,6,132.5771709,23,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,0.75,0.95,29
29259.21007,177,22174.06103,126,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1.98,165
56062.73383,6600,62939.76354,10,10,15,15,15,15,15,15,15,15,15,15,15,15,180,0.5,0.82,0.94,26
5507.884826,25,321.5326989,13,10,3,3,3,3,3,3,3,3,3,3,3,3,36,-0.7,0.88,1.06,30
51646.57145,21,888.5499861,43,10,4,4,4,4,4,4,4,4,4,4,4,4,48,-0.6,1,1.14,80
56852.69199,6,207.3959115,33,10,6,6,6,6,6,6,6,6,6,6,6,6,72,-0.4,0.75,1.23,60
43587.35979,16,11700,731,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,0.82,12
18388.13489,12,906.9987288,75,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,0.8,3.46,26
69917.70123,72,555.132038,8,18,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,302.4,0.4,1,0.92,12
84010.94264,71,1138.566596,16,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,1,35
58028.02417,79,3817.095492,48,10,18,18,18,18,18,18,18,18,18,18,18,18,216,0.8,1,0.96,130
76279.32956,8,279.8285832,36,18,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,388.8,0.8,1,0.74,60
839.7189575,5,32500,6013,26,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,187.2,-0.4,1,0.81,60
43344.10831,232,3394.175365,15,10,8,8,8,8,8,8,8,8,8,8,8,8,96,-0.2,0.82,1.07,35
19942.00864,145,3152.765401,22,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,0.78,40
12128.43273,26,1040.641667,39,42,63,63,63,63,63,63,63,63,63,63,63,63,756,0.5,1,0.71,40
83981.03848,56,1042.649526,18,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,1.87,12
6239.586338,137,24054.2583,176,26,65,65,65,65,65,65,65,65,65,65,65,65,780,1.5,1,0.92,190
50164.97265,268,6979.835903,26,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,1,1,26
98053.03428,139,2812.089201,20,10,22,22,22,22,22,22,22,22,22,22,22,22,264,1.2,1,0.87,60
15456.07562,513,15429.49049,30,10,9,9,9,9,9,9,9,9,9,9,9,9,108,-0.1,1,0.87,90
23247.41692,13,90.9344229,7,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,0.87,11
36801.08852,11,290.4116474,27,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.88,40
32628.01978,20,1177.570735,60,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,0.8,1.57,45
18511.05158,7,259.7676209,36,34,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,489.6,0.2,0.8,0.94,25
1465.287773,9,275.4754567,30,10,12,12,12,12,12,12,12,12,12,12,12,12,144,0.2,1,1,70
64333.34908,27,789.9992539,29,18,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,129.6,-0.4,1,1.32,26
43950.98135,77,1049.768316,14,34,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,244.8,-0.4,1,0.72,12
82840.00177,7,1480.072836,205,42,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,806.4,0.6,1,0.93,145
16258.20829,62,3465.650975,56,18,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.4,-0.6,1,1.46,55
68000.85251,24,12428.60052,525,42,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,705.6,0.4,1,1.08,290
92564.37328,139,2428.349439,17,26,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,686.4,1.2,0.83,0.85,20
5080.470179,144,12318.49995,86,26,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,499.2,0.6,1,1.14,75
34964.02796,57,4326.794187,76,34,51,51,51,51,51,51,51,51,51,51,51,51,612,0.5,0.87,0.8,70
56870.09973,23,1741.597822,76,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,0.82,0.77,85
91426.67159,6,1353.368746,211,50,90,90,90,90,90,90,90,90,90,90,90,90,1080,0.8,0.82,1.38,60
77806.09006,7,1372.048767,203,50,40,40,40,40,40,40,40,40,40,40,40,40,480,-0.2,0.88,0.81,133
68677.35508,73,1596.896951,22,18,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,1.2,1,0.85,45
24821.80158,28,1424.382438,51,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,1,0.76,60
77724.02442,36,1109.008223,31,18,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,259.2,0.2,1,0.92,40
17675.74024,6,267.3449882,41,18,45,45,45,45,45,45,45,45,45,45,45,45,540,1.5,0.82,1.02,50
9037.732304,5,1042.304365,198,58,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,208.8,-0.7,0.72,1.02,60
28488.38611,13,1104.604341,86,26,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,249.6,-0.2,1,1.14,60
89665.20677,41,1379.741388,34,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,1.3,45
83959.21238,29,1181.523193,40,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,0.85,1,47
3987.356487,81,4063.748271,50,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.6,0.71,0.77,46
10364.08644,22,1117.374887,50,26,65,65,65,65,65,65,65,65,65,65,65,65,780,1.5,0.75,0.94,60
35265.16222,362,79471.22958,220,34,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,163.2,-0.6,1,0.96,175
38589.6678,130,16916.84834,130,18,27,27,27,27,27,27,27,27,27,27,27,27,324,0.5,1,1.56,120
49890.04676,26,6045.629313,230,66,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,633.6,-0.2,0.82,0.85,100
49717.44659,22,4519.367993,208,66,99,99,99,99,99,99,99,99,99,99,99,99,1188,0.5,1,1.32,60
91537.48339,6,1186.64262,205,26,39,39,39,39,39,39,39,39,39,39,39,39,468,0.5,1,0.94,155
66633.48938,139,2288.613414,16,34,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,734.4,0.8,0.8,0.87,14
80260.11575,17,3900,235,26,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,93.6,-0.7,0.8,0.73,28
58470.64716,53,1195.015878,23,42,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,453.6,-0.1,1,1.06,16
89321.96051,201,8404.745065,42,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,1,1.14,28
36242.58921,8,1031.920173,124,82,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,295.2,-0.7,1,1.59,28
72292.61001,112,7988.928042,71,66,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,118.8,1425.6,0.8,1,0.9,31
42242.48607,70,3355.171905,48,50,110,110,110,110,110,110,110,110,110,110,110,110,1320,1.2,1,0.79,31
45552.5998,29,1049.076533,36,50,15,15,15,15,15,15,15,15,15,15,15,15,180,-0.7,1,0.72,21
27719.21863,41,1264.750889,31,34,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,897.6,1.2,1,0.97,29
48757.60959,6,595.6329179,99,74,111,111,111,111,111,111,111,111,111,111,111,111,1332,0.5,0.8,0.93,31
52738.31427,195,10422.69629,54,58,127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,127.6,1531.2,1.2,0.75,0.73,31
55168.57614,18,900.0852453,51,58,145,145,145,145,145,145,145,145,145,145,145,145,1740,1.5,0.92,0.96,19
27804.56418,8,1044.21718,131,58,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,835.2,0.2,0.82,1.47,31
34397.90417,23,3649.799577,160,122,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,268.4,3220.8,1.2,1,1.06,31
21887.98141,1078,104030.7816,97,66,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,475.2,-0.4,1,1.23,31
